CONTROL,TERRENOS,SUP_TOTAL,SUMA_TOTAL,sup_cal_ha,sup_tot_ch,diferencia,GRIDCODE,cambio_tip,sup_cambio
07116008-4003,286,3910.0298,89957.849,3952.784,90819.402,42.754,6,Degradada,473.059
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,30,Reforestado,310.157
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,28,Reforestado,14.157
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,29,Conservado,1010.378
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,23,Sin cambio,454.201
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,24,Deforestada,460.213
07116005-0004,174,2222.0386,89957.849,2252.24,90819.402,30.201,25,Degradada,3.133
07116007-A008,28,339.5362,89957.849,338.222,90819.402,-1.314,29,Conservado,268.816
07116007-A008,28,339.5362,89957.849,338.222,90819.402,-1.314,23,Sin cambio,12.32
07116007-A008,28,339.5362,89957.849,338.222,90819.402,-1.314,24,Deforestada,57.016
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,30,Reforestado,15.288
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,28,Reforestado,23.603
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,29,Conservado,356.702
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,23,Sin cambio,248.044
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,37,Conservado,91.956
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,24,Deforestada,370.782
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,36,Deforestada,231.936
07116007-A005,19,1611.7453,89957.849,1605.217,90819.402,-6.528,25,Degradada,266.461
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,30,Reforestado,121.668
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,29,Conservado,1338.314
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,37,Conservado,238.4
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,24,Deforestada,369.07
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,36,Deforestada,265.917
07116005-0007,102,3416.0088,89957.849,3467.891,90819.402,51.882,25,Degradada,1133.681
07116011-6013,72,234.825,89957.849,233.628,90819.402,-1.197,23,Sin cambio,187.174
07116011-6013,72,234.825,89957.849,233.628,90819.402,-1.197,37,Conservado,0.785
07116011-6013,72,234.825,89957.849,233.628,90819.402,-1.197,4,Actividad productiva,10.424
07116011-6013,72,234.825,89957.849,233.628,90819.402,-1.197,25,Degradada,34.792
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,30,Reforestado,6.215
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,28,Reforestado,10.317
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,29,Conservado,1500.474
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,23,Sin cambio,831.589
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,24,Deforestada,78.019
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,25,Degradada,7.319
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,11,Urbanizacion,11.95
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,17,Transicion,0.199
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,16,Sin cambio,1.275
07116009-9002,88,2446.0703,89957.849,2464.882,90819.402,18.812,22,Actividad productiva,16.39
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,30,Reforestado,22.856
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,28,Reforestado,14.421
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,29,Conservado,348.35
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,35,Transicion,0.397
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,23,Sin cambio,92.083
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,37,Conservado,0.059
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,24,Deforestada,24.95
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,36,Deforestada,17.295
07116006-5009,4,667.6872,89957.849,665.065,90819.402,-2.622,25,Degradada,144.653
07116007-A006,15,1836.321,89957.849,1828.515,90819.402,-7.806,29,Conservado,17.2
07116007-A006,15,1836.321,89957.849,1828.515,90819.402,-7.806,37,Conservado,252.957
07116007-A006,15,1836.321,89957.849,1828.515,90819.402,-7.806,24,Deforestada,325.185
07116007-A006,15,1836.321,89957.849,1828.515,90819.402,-7.806,36,Deforestada,1025.952
07116007-A006,15,1836.321,89957.849,1828.515,90819.402,-7.806,25,Degradada,206.967
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,41,Transicion,6.796
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,34,Transicion,5.544
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,10,Urbanizacion,0.234
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,30,Reforestado,4.288
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,28,Reforestado,79.307
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,29,Conservado,1054.688
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,5,Deforestada,169.264
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,35,Transicion,100.332
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,23,Sin cambio,2795.428
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,37,Conservado,394.241
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,4,Actividad productiva,363.278
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,24,Deforestada,2051.66
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,36,Deforestada,648.415
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,25,Degradada,1219.853
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,6,Degradada,89.57
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,11,Urbanizacion,70.568
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,17,Transicion,4.586
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,16,Sin cambio,23.475
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,3,Actividad productiva,9.751
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,19,Degradada,4.268
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,18,Deforestada,1.885
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,42,Sin cambio,3.448
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,40,Deforestada,35.049
07116004-6001,315,9070.8535,89957.849,9181.819,90819.402,110.966,22,Actividad productiva,39.128
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,30,Reforestado,89.003
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,29,Conservado,221.998
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,5,Deforestada,67.092
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,24,Deforestada,1.802
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,25,Degradada,2.348
07116010-1007,100,1241.9933,89957.849,1282.354,90819.402,40.361,6,Degradada,899.934
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,5,Deforestada,8.655
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,37,Conservado,152.776
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,24,Deforestada,61.376
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,36,Deforestada,544.932
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,25,Degradada,154.182
07116012-0001,14,1027.5454,89957.849,1022.99,90819.402,-4.555,6,Degradada,101.068
07116011-6011,63,111.5856,89957.849,111.05,90819.402,-0.536,30,Reforestado,5.26
07116011-6011,63,111.5856,89957.849,111.05,90819.402,-0.536,29,Conservado,102.764
07116011-6011,63,111.5856,89957.849,111.05,90819.402,-0.536,37,Conservado,2.918
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,30,Reforestado,10.878
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,28,Reforestado,62.214
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,29,Conservado,237.645
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,5,Deforestada,0.344
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,35,Transicion,791.965
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,23,Sin cambio,1510.903
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,37,Conservado,1082.541
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,4,Actividad productiva,10.228
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,24,Deforestada,87.419
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,36,Deforestada,0.837
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,25,Degradada,672.785
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,6,Degradada,44.383
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,11,Urbanizacion,34.881
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,17,Transicion,3.333
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,16,Sin cambio,0.071
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,19,Degradada,0.415
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,21,Actividad productiva,48.464
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,33,Transicion,24.287
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,1,Sin cambio,171.532
07116011-6012,230,4726.4592,89957.849,4819.518,90819.402,93.059,14,Transicion,0.672
07116007-A002,8,300.856,89957.849,299.667,90819.402,-1.189,28,Reforestado,2.737
07116007-A002,8,300.856,89957.849,299.667,90819.402,-1.189,29,Conservado,56.142
07116007-A002,8,300.856,89957.849,299.667,90819.402,-1.189,23,Sin cambio,238.602
07116007-A002,8,300.856,89957.849,299.667,90819.402,-1.189,24,Deforestada,2.186
07116011-6006,66,116.292,89957.849,115.742,90819.402,-0.55,30,Reforestado,6.359
07116011-6006,66,116.292,89957.849,115.742,90819.402,-0.55,29,Conservado,85.382
07116011-6006,66,116.292,89957.849,115.742,90819.402,-0.55,5,Deforestada,23.804
07116011-6006,66,116.292,89957.849,115.742,90819.402,-0.55,6,Degradada,0.079
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,35,Transicion,2.027
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,23,Sin cambio,5.48
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,37,Conservado,95.041
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,24,Deforestada,46.392
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,36,Deforestada,27.528
07116006-5007,2,544.2262,89957.849,542.018,90819.402,-2.208,25,Degradada,365.55
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,28,Reforestado,0.933
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,29,Conservado,126.214
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,35,Transicion,12.166
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,23,Sin cambio,1070.369
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,24,Deforestada,38.244
07116007-A012,51,1217.1624,89957.849,1267.019,90819.402,49.857,36,Deforestada,18.619
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,30,Reforestado,3.377
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,28,Reforestado,21.113
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,29,Conservado,531.587
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,5,Deforestada,469.404
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,35,Transicion,32.721
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,23,Sin cambio,1003.297
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,37,Conservado,61.313
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,4,Actividad productiva,803.877
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,24,Deforestada,166.808
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,36,Deforestada,663.037
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,25,Degradada,45.713
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,6,Degradada,11.128
07116006-5006,183,3802.8789,89957.849,3845.967,90819.402,43.088,11,Urbanizacion,32.589
07116008-4010,26,160.8464,89957.849,160.101,90819.402,-0.745,6,Degradada,160.084
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,30,Reforestado,28.764
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,28,Reforestado,43.757
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,29,Conservado,894.216
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,5,Deforestada,15.43
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,35,Transicion,29.471
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,23,Sin cambio,369.912
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,37,Conservado,269.522
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,4,Actividad productiva,118.897
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,24,Deforestada,357.274
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,36,Deforestada,302.992
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,25,Degradada,49.374
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,6,Degradada,174.409
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,20,Degradada,0.144
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,16,Sin cambio,0.701
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,3,Actividad productiva,6.688
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,19,Degradada,0.077
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,18,Deforestada,0.12
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,7,Degradada,2.307
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,31,Reforestado,0.36
07116011-6001,205,2643.7354,89957.849,2666.1,90819.402,22.365,27,Reforestado,0.297
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,30,Reforestado,55.845
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,28,Reforestado,166.813
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,29,Conservado,1538.169
07116010-1006,106,4316.111,89957.849,4362.671,90819.402,46.56,5,Deforestada,91.892
