CONTROL,TERRENOS,SUP_TOTAL,SUMA_TOTAL,sup_cal_ha,sup_tot_ch,diferencia,GRIDCODE,cambio_tip,sup_cambio
07116010-1012,70,326.83,89957.849,325.3,90819.402,-1.53,29,Conservado,176.998
07116010-1012,70,326.83,89957.849,325.3,90819.402,-1.53,5,Deforestada,15.553
07116010-1012,70,326.83,89957.849,325.3,90819.402,-1.53,6,Degradada,109.433
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,13,Degradada,16.6
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,30,Reforestado,21.803
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,29,Conservado,321.031
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,37,Conservado,294.475
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,36,Deforestada,20.18
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,25,Degradada,28.27
07116012-0005,33,1304.396,89957.849,1298.248,90819.402,-6.148,6,Degradada,593.51
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,35,Transicion,80.948
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,23,Sin cambio,917.547
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,37,Conservado,5.732
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,4,Actividad productiva,95.353
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,24,Deforestada,224.314
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,36,Deforestada,405.056
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,25,Degradada,4.559
07116011-6007,185,1710.7889,89957.849,1740.25,90819.402,29.461,17,Transicion,5.737
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,30,Reforestado,33.313
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,29,Conservado,289.301
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,5,Deforestada,6.246
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,35,Transicion,144.45
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,23,Sin cambio,659.491
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,37,Conservado,2593.693
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,24,Deforestada,85.103
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,36,Deforestada,5.316
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,25,Degradada,1149.12
07116011-6009,90,4719.2142,89957.849,4970.563,90819.402,251.349,6,Degradada,2.943
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,13,Degradada,10.954
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,12,Deforestada,0.065
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,30,Reforestado,30.402
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,28,Reforestado,0.644
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,29,Conservado,1436.352
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,5,Deforestada,848.384
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,35,Transicion,7.184
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,23,Sin cambio,90.549
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,37,Conservado,118.687
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,4,Actividad productiva,4.614
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,24,Deforestada,768.899
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,36,Deforestada,474.197
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,25,Degradada,795.523
07116012-0004,256,5285.6287,89957.849,5264.381,90819.402,-21.248,6,Degradada,618.563
07116011-6010,72,185.1192,89957.849,184.234,90819.402,-0.885,29,Conservado,184.234
07116008-4001,4,591.022,89957.849,588.527,90819.402,-2.495,5,Deforestada,42.56
07116008-4001,4,591.022,89957.849,588.527,90819.402,-2.495,36,Deforestada,545.966
07116007-A007,1,427.1475,89957.849,425.291,90819.402,-1.856,37,Conservado,75.177
07116007-A007,1,427.1475,89957.849,425.291,90819.402,-1.856,36,Deforestada,349.022
07116011-6005,67,275.9998,89957.849,274.698,90819.402,-1.302,30,Reforestado,0.25
07116011-6005,67,275.9998,89957.849,274.698,90819.402,-1.302,29,Conservado,224.087
07116011-6005,67,275.9998,89957.849,274.698,90819.402,-1.302,5,Deforestada,41.211
07116011-6005,67,275.9998,89957.849,274.698,90819.402,-1.302,6,Degradada,9.15
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,30,Reforestado,34.155
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,28,Reforestado,144.233
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,29,Conservado,608.972
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,5,Deforestada,167.92
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,35,Transicion,52.444
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,23,Sin cambio,342.622
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,37,Conservado,10.884
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,4,Actividad productiva,30.236
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,24,Deforestada,260.522
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,36,Deforestada,106.788
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,25,Degradada,19.904
07116011-6008,35,1769.5916,89957.849,1780.453,90819.402,10.861,6,Degradada,1.772
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,30,Reforestado,34.313
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,28,Reforestado,1.457
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,29,Conservado,267.388
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,5,Deforestada,38.261
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,35,Transicion,30.737
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,23,Sin cambio,1274.015
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,37,Conservado,221.834
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,4,Actividad productiva,13.536
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,24,Deforestada,563.165
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,25,Degradada,105.246
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,6,Degradada,651.27
07116008-4009,482,3181.2264,89957.849,3222.002,90819.402,40.776,11,Urbanizacion,20.78
