GRIDCODE,CLASS_NAME,CONTROL,HA,TIP_CAMBIO
"29",5 |  5,07116009-9002,1500.68000000000,Conservación de vegetación
"29",5 |  5,07116011-6011,102.80900000000,Conservación de vegetación
"29",5 |  5,07116010-1006,1469.40000000000,Conservación de vegetación
"29",5 |  5,07116010-1006,68.84050000000,Conservación de vegetación
"29",5 |  5,07116007-A002,56.14200000000,Conservación de vegetación
"29",5 |  5,07116006-5006,7.43325000000,Conservación de vegetación
"29",5 |  5,07116006-5006,524.19400000000,Conservación de vegetación
"29",5 |  5,07116011-6012,0.86671500000,Conservación de vegetación
"29",5 |  5,07116011-6012,15.35340000000,Conservación de vegetación
"29",5 |  5,07116011-6012,91.88920000000,Conservación de vegetación
"29",5 |  5,07116011-6012,129.95600000000,Conservación de vegetación
"37",6 |  6,07116011-6009,2473.82000000000,Conservación de vegetación
"37",6 |  6,07116011-6009,52.60550000000,Conservación de vegetación
"37",6 |  6,07116011-6009,68.43430000000,Conservación de vegetación
"37",6 |  6,07116008-4008,8.05256000000,Conservación de vegetación
"37",6 |  6,07116008-4008,126.24900000000,Conservación de vegetación
"37",6 |  6,07116006-5007,43.01370000000,Conservación de vegetación
"37",6 |  6,07116006-5007,45.51760000000,Conservación de vegetación
"37",6 |  6,07116006-5007,6.50991000000,Conservación de vegetación
"37",6 |  6,07116005-0003,193.75100000000,Conservación de vegetación
"37",6 |  6,07116005-0003,0.64196200000,Conservación de vegetación
"37",6 |  6,07116005-0007,67.53180000000,Conservación de vegetación
"37",6 |  6,07116005-0007,62.65990000000,Conservación de vegetación
"37",6 |  6,07116005-0007,108.20900000000,Conservación de vegetación
"37",6 |  6,07116007-A007,75.17700000000,Conservación de vegetación
"37",6 |  6,07116007-A006,1.28858000000,Conservación de vegetación
"37",6 |  6,07116007-A006,110.52800000000,Conservación de vegetación
"37",6 |  6,07116007-A006,141.37300000000,Conservación de vegetación
"37",6 |  6,07116007-A005,92.32950000000,Conservación de vegetación
"37",6 |  6,07116008-4004,1.63137000000,Conservación de vegetación
"37",6 |  6,07116008-4004,2.15801000000,Conservación de vegetación
"37",6 |  6,07116011-6001,32.54370000000,Conservación de vegetación
"37",6 |  6,07116011-6001,236.97700000000,Conservación de vegetación
"37",6 |  6,07116004-6001,209.61700000000,Conservación de vegetación
"37",6 |  6,07116004-6001,37.89270000000,Conservación de vegetación
"37",6 |  6,07116004-6001,76.75840000000,Conservación de vegetación
"37",6 |  6,07116004-6001,65.49980000000,Conservación de vegetación
"37",6 |  6,07116004-6001,1.17101000000,Conservación de vegetación
"37",6 |  6,07116004-6001,3.41389000000,Conservación de vegetación
"37",6 |  6,07116011-6013,0.86767900000,Conservación de vegetación
"37",6 |  6,07116008-4003,61.47090000000,Conservación de vegetación
"37",6 |  6,07116008-4003,3.15031000000,Conservación de vegetación
"37",6 |  6,07116012-0005,257.91300000000,Conservación de vegetación
"37",6 |  6,07116012-0005,37.06380000000,Conservación de vegetación
"37",6 |  6,07116012-0001,3.79889000000,Conservación de vegetación
"37",6 |  6,07116012-0001,146.24200000000,Conservación de vegetación
"37",6 |  6,07116008-4009,46.55340000000,Conservación de vegetación
"37",6 |  6,07116008-4009,37.68360000000,Conservación de vegetación
"37",6 |  6,07116008-4009,138.06700000000,Conservación de vegetación
"37",6 |  6,07116006-5004,21.20510000000,Conservación de vegetación
"37",6 |  6,07116008-4007,5.15192000000,Conservación de vegetación
"37",6 |  6,07116008-4007,4.76677000000,Conservación de vegetación
"37",6 |  6,07116008-4007,2.30504000000,Conservación de vegetación
"37",6 |  6,07116008-4007,2.41846000000,Conservación de vegetación
"37",6 |  6,07116008-4007,6.08649000000,Conservación de vegetación
"37",6 |  6,07116011-6008,8.82088000000,Conservación de vegetación
"37",6 |  6,07116011-6008,2.06346000000,Conservación de vegetación
"37",6 |  6,07116009-9001,15.46840000000,Conservación de vegetación
"37",6 |  6,07116009-9001,71.39400000000,Conservación de vegetación
"37",6 |  6,07116009-9001,5.02330000000,Conservación de vegetación
"37",6 |  6,07116009-9001,56.73600000000,Conservación de vegetación
"37",6 |  6,07116009-9001,7.90755000000,Conservación de vegetación
"37",6 |  6,07116009-9001,29.63410000000,Conservación de vegetación
"37",6 |  6,07116011-6007,5.73201000000,Conservación de vegetación
"37",6 |  6,07116007-A003,8.27041000000,Conservación de vegetación
"37",6 |  6,07116007-A003,19.79530000000,Conservación de vegetación
"37",6 |  6,07116007-A003,54.82090000000,Conservación de vegetación
"37",6 |  6,07116007-A003,52.17310000000,Conservación de vegetación
"37",6 |  6,07116007-A003,46.11590000000,Conservación de vegetación
"37",6 |  6,07116007-A003,13.92180000000,Conservación de vegetación
"37",6 |  6,07116007-A003,12.31490000000,Conservación de vegetación
"37",6 |  6,07116007-A003,19.63120000000,Conservación de vegetación
"37",6 |  6,07116007-A003,21.01880000000,Conservación de vegetación
"37",6 |  6,07116007-A003,9.20931000000,Conservación de vegetación
"37",6 |  6,07116007-A003,0.59875800000,Conservación de vegetación
"37",6 |  6,07116012-0004,14.25870000000,Conservación de vegetación
"37",6 |  6,07116012-0004,28.68190000000,Conservación de vegetación
"37",6 |  6,07116012-0004,55.10860000000,Conservación de vegetación
"37",6 |  6,07116012-0004,7.04291000000,Conservación de vegetación
"37",6 |  6,07116012-0004,6.29973000000,Conservación de vegetación
"37",6 |  6,07116012-0004,7.27162000000,Conservación de vegetación
"37",6 |  6,07116011-6011,2.91782000000,Conservación de vegetación
"37",6 |  6,07116010-1006,146.41600000000,Conservación de vegetación
"37",6 |  6,07116010-1006,29.06010000000,Conservación de vegetación
"37",6 |  6,07116010-1006,90.27400000000,Conservación de vegetación
"37",6 |  6,07116010-1006,63.47270000000,Conservación de vegetación
"37",6 |  6,07116012-0002,22.79970000000,Conservación de vegetación
"37",6 |  6,07116006-5006,61.36770000000,Conservación de vegetación
"37",6 |  6,07116011-6012,689.11100000000,Conservación de vegetación
"37",6 |  6,07116011-6012,323.02300000000,Conservación de vegetación
"37",6 |  6,07116011-6012,70.47300000000,Conservación de vegetación
"5",5 |  1,07116011-6009,6.28649000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4008,28.57950000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4008,125.79600000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4008,9.66147000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4008,85.84770000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4008,1.47597000000,Pérdida de vegetación primaria
"5",5 |  1,07116005-0003,126.55200000000,Pérdida de vegetación primaria
"5",5 |  1,07116005-0003,67.70460000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4001,2.62107000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4001,39.93910000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4004,154.60100000000,Pérdida de vegetación primaria
"5",5 |  1,07116011-6001,11.92180000000,Pérdida de vegetación primaria
"5",5 |  1,07116011-6001,3.50808000000,Pérdida de vegetación primaria
"5",5 |  1,07116004-6001,27.33250000000,Pérdida de vegetación primaria
"5",5 |  1,07116004-6001,136.07600000000,Pérdida de vegetación primaria
"5",5 |  1,07116004-6001,5.93804000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1007,6.98997000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1007,55.72880000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1007,4.41622000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4003,622.90700000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4003,94.98040000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0001,8.62970000000,Pérdida de vegetación primaria
"5",5 |  1,07116011-6005,41.21130000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4009,33.67620000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4009,2.79412000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4009,1.63017000000,Pérdida de vegetación primaria
"5",5 |  1,07116008-4007,100.87900000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1012,14.11770000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1012,0.94040100000,Pérdida de vegetación primaria
"5",5 |  1,07116011-6008,167.92000000000,Pérdida de vegetación primaria
"5",5 |  1,07116009-9001,23.40330000000,Pérdida de vegetación primaria
"5",5 |  1,07116011-6006,23.87890000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,96.87950000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,471.63300000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,11.21800000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,204.86000000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,2.87956000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,30.57860000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0004,31.21470000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1006,21.46340000000,Pérdida de vegetación primaria
"5",5 |  1,07116010-1006,70.42810000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0002,2.38279000000,Pérdida de vegetación primaria
"5",5 |  1,07116012-0002,68.81770000000,Pérdida de vegetación primaria
"5",5 |  1,07116006-5006,3.13611000000,Pérdida de vegetación primaria
"5",5 |  1,07116006-5006,25.88680000000,Pérdida de vegetación primaria
"5",5 |  1,07116006-5006,439.66100000000,Pérdida de vegetación primaria
"18",5 |  3,07116004-6001,0.63660200000,Pérdida de vegetación primaria
"18",5 |  3,07116004-6001,0.76728700000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6009,11.20970000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6009,1.16711000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6009,71.93570000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4008,11.74370000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4008,4.15021000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4008,48.61910000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4008,16.02880000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5007,46.39210000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A001,128.44100000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,12.26970000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,187.15200000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,30.73420000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,698.79900000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,2.06939000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,134.57500000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,36.80330000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,8.68046000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,4.98402000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,3.13545000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,59.62390000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,24.91990000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,4.88907000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,1.03119000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,12.89520000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,5.34590000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,0.65956300000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0003,134.62500000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,265.89200000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,20.29550000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,0.82399500000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,2.59433000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,6.40102000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,17.02000000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,13.92340000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0007,42.27980000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A006,70.28930000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A006,113.82700000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A006,35.11200000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A006,107.44100000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A005,340.42700000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A005,5.26661000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A005,5.49446000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A005,19.95960000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4004,1.21260000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4004,601.87700000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A008,57.03740000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6001,2.99332000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6001,264.64800000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6001,14.51830000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6001,74.67450000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,1746.28000000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,91.65800000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,45.87380000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,6.60778000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,14.96660000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,34.33590000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,69.06510000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,7.47741000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,7.16359000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,14.54520000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,1.80373000000,Pérdida de vegetación primaria
"24",5 |  4,07116004-6001,11.36180000000,Pérdida de vegetación primaria
"24",5 |  4,07116005-0004,460.21300000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1007,1.80151000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,140.70200000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,2.32903000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,1.72768000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,0.51850700000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,24.59670000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4003,4.27105000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5009,24.66650000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1014,179.01400000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1014,10.16800000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1014,1.52822000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1014,5.22671000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0001,52.52950000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0001,9.00702000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A004,8.17449000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4009,517.04900000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4009,46.09020000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5004,36.16300000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5004,71.73210000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4007,5.30089000000,Pérdida de vegetación primaria
"24",5 |  4,07116008-4007,35.15370000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A012,21.62400000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A012,12.85200000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A012,3.76246000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,172.25100000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,0.91133100000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,2.04181000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,56.80080000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,25.55620000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6008,3.28395000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,981.52300000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,17.00570000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,8.43910000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,220.40400000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,88.29690000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,21.46500000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,212.77200000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,1.98776000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,26.93880000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9001,8.10563000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6007,14.79980000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6007,123.12100000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6007,25.77210000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6007,17.09770000000,Pérdida de vegetación primaria
"24",5 |  4,07116011-6007,44.04170000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,1.08106000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,36.53440000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,65.71270000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,7.69601000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,44.50380000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,1.58852000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,8.76223000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,12.24930000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,9.60460000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,3.19296000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,10.09140000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,0.75301700000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,4.51924000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A003,0.75406700000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,0.56527600000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,189.54000000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,7.87997000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,64.25780000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,7.76582000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,384.27400000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,108.77800000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0004,6.23862000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9002,21.92420000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9002,0.52592000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9002,53.50530000000,Pérdida de vegetación primaria
"24",5 |  4,07116009-9002,1.73851000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,58.37300000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,6.99368000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,40.50190000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,23.55210000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,2.78434000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,135.70900000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,52.00290000000,Pérdida de vegetación primaria
"24",5 |  4,07116010-1006,76.27710000000,Pérdida de vegetación primaria
"24",5 |  4,07116012-0002,8.89127000000,Pérdida de vegetación primaria
"24",5 |  4,07116007-A002,2.14584000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,3.56302000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,9.96839000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,12.20730000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,56.73860000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,3.95560000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,8.96737000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,31.30560000000,Pérdida de vegetación primaria
"24",5 |  4,07116006-5006,37.86540000000,Pérdida de vegetación primaria
