control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07092011-2004,7,Chiapas,92,Tecpatán,011-2,4,5,33.2154,092_011-2_004,2684.38800357,331602.789764,092_011-2_004,,,1,,,,,,,,,1
07027009-7006,7,Chiapas,27,Chiapa de Corzo,009-7,6,20,669.4222,027_009-7_006,14371.0356623,6719767.85031,027_009-7_006,,,,5,,,,,,,,5
07037010-6006,7,Chiapas,37,Huehuetán,010-6,6,3,331.6671,037_010-6_006,8291.12695679,3277946.39329,037_010-6_006,,,,1,,,,,,,,1
07065018-7006,7,Chiapas,65,Palenque,018-7,6,23,382.0117,065_018-7_006,10188.5244157,3817982.99903,065_018-7_006,,,2,,,,,,,,,2
07017023-0014,7,Chiapas,17,Cintalapa,023-0,14,20,104.9622,017_023-0_014,5818.44955135,1074089.17172,017_023-0_014,,,,3,,,,,,,,3
07076001-5009,7,Chiapas,76,Sabanilla,001-5,9,26,153.1293,076_001-5_009,7402.48537983,1580903.21552,076_001-5_009,,,,6,,,,,,,,6
07003006-1016,7,Chiapas,3,Acapetahua,006-1,16,18,537.8783,003_006-1_016,11806.3589182,6743228.446,003_006-1_016,,,,14,,,,,,,,14
07059033-4011,7,Chiapas,59,Ocosingo,033-4,11,194,630.9148,059_033-4_011,12999.9554763,6426637.03711,059_033-4_011,3,,3,71,,,,,,,,77
07048006-3013,7,Chiapas,48,Juárez,006-3,13,12,769.485,048_006-3_013,17677.2972314,7692479.39196,048_006-3_013,,,,10,,,,,,,,10
07069013-3017,7,Chiapas,69,Pijijiapan,013-3,17,21,540.1032,069_013-3_017,13764.8270081,5353924.93777,069_013-3_017,,,,12,,,,,,,,12
07065013-4016,7,Chiapas,65,Palenque,013-4,16,33,425.3524,065_013-4_016,9918.05457018,4251645.28936,065_013-4_016,,,,18,,,,,,,,18
07097011-9001,7,Chiapas,97,Tonalá,011-9,1,6,345.9608,097_011-9_001,8572.86850283,3438525.26676,097_011-9_001,,,,4,,,,,,,,4
07097019-5001,7,Chiapas,97,Tonalá,019-5,1,19,810.0853,097_019-5_001,12356.330612,8042706.21614,097_019-5_001,,,,18,,,,,,,,18
07005001-3002,7,Chiapas,5,Amatán,001-3,2,5,1418.4348,005_001-3_002,26295.7481761,14171586.6862,005_001-3_002,,,,4,,,,,,,,4
07002005-A003,7,Chiapas,2,Acala,005-A,3,3,74.7605,002_005-A_003,8416.5094121,744220.245381,002_005-A_003,,,,3,,,,,,,,3
07046013-9009,7,Chiapas,46,Jiquipilas,013-9,9,4,112.65,046_013-9_009,5993.2347131,1121246.86731,046_013-9_009,,,,4,,,,,,,,4
07020006-2016,7,Chiapas,20,La Concordia,006-2,16,8,852.0967,020_006-2_016,18127.54786,8464739.1631,020_006-2_016,,,,6,,,,,,,,6
07051010-5018,7,Chiapas,51,Mapastepec,010-5,18,10,54.862,051_010-5_018,4569.27688565,553353.575793,051_010-5_018,,,,10,,,,,,,,10
07107013-6005,7,Chiapas,107,Villa Corzo,013-6,5,15,434.0511,107_013-6_005,17707.8681217,4313668.13744,107_013-6_005,,,,8,,,,,,,,8
07061008-4006,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,6,13,508.0035,061_008-4_006,13275.1659364,5067275.82902,061_008-4_006,,,,6,,,,,,,,6
07097013-8006,7,Chiapas,97,Tonalá,013-8,6,13,778.8248,097_013-8_006,12506.5498971,7737267.45132,097_013-8_006,,,,11,,,,,,,,11
07099014-7011,7,Chiapas,99,La Trinitaria,014-7,11,49,67.3495,099_014-7_011,4290.94254032,669102.407988,099_014-7_011,,,,47,,,,,,,,47
07107009-A014,7,Chiapas,107,Villa Corzo,009-A,14,53,246.9864,107_009-A_014,7503.31596996,2476905.21524,107_009-A_014,,,,12,,,,,,,,12
07059033-4003,7,Chiapas,59,Ocosingo,033-4,3,113,2213.8385,059_033-4_003,28564.8859047,22734452.7459,059_033-4_003,,,,6,,,,,,,,6
07065014-9004,7,Chiapas,65,Palenque,014-9,4,23,334.3861,065_014-9_004,8252.51387525,3551993.4455,065_014-9_004,,,1,11,,,,,,,,12
07092009-5005,7,Chiapas,92,Tecpatán,009-5,5,127,808.008,092_009-5_005,12692.0351667,8239538.22134,092_009-5_005,,,2,74,,,,,,,,76
07009011-6007,7,Chiapas,9,Arriaga,011-6,7,64,137.0685,009_011-6_007,5557.31061465,1362600.69615,009_011-6_007,,,2,49,,,,,,,,51
07017011-8007,7,Chiapas,17,Cintalapa,011-8,7,83,727.8559,017_011-8_007,15484.3852728,7651982.21811,017_011-8_007,,,28,4,,,,,,,,32
07108026-0003,7,Chiapas,108,Villaflores,026-0,3,32,238.5205,108_026-0_003,11962.4731144,2371657.39577,108_026-0_003,,,1,21,,,,,,,,22
07062004-3006,7,Chiapas,62,Ostuacán,004-3,6,7,322.3045,062_004-3_006,11584.3029586,3321616.07501,062_004-3_006,,,,7,,,,,,,,7
07092020-1008,7,Chiapas,92,Tecpatán,020-1,8,14,69.2539,092_020-1_008,4862.01407404,693206.081048,092_020-1_008,,,1,11,,,,,,,,12
07048007-8007,7,Chiapas,48,Juárez,007-8,7,37,1473.4622,048_007-8_007,20949.4231545,14727818.4068,048_007-8_007,,,4,20,,,,,,,,24
07065013-4007,7,Chiapas,65,Palenque,013-4,7,22,320.0991,065_013-4_007,11848.3948608,3199927.9967,065_013-4_007,,,,20,,,,,,,,20
