control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07083006-2014,7,Chiapas,83,Socoltenango,006-2,14,3,2031.1118,083_006-2_014,37199.8943382,20181776.6351,083_006-2_014,,,,2,,,,,,,,2
07028002-2001,7,Chiapas,28,Chiapilla,002-2,1,1144,2332.6384,028_002-2_001,37533.0665468,24413132.1723,028_002-2_001,,,,295,,,,,,,,295
07107012-1011,7,Chiapas,107,Villa Corzo,012-1,11,391,3253.8556,107_012-1_011,35021.1114192,32867029.5028,107_012-1_011,,,5,279,,,,,,,4,288
07052025-9015,7,Chiapas,52,Las Margaritas,025-9,15,193,138.7477,052_025-9_015,5269.82988687,1380133.75057,052_025-9_015,,,1,,,,,,,,,1
07083008-1001,7,Chiapas,83,Socoltenango,008-1,1,3,14989.4472,083_008-1_001,115921.053291,148892925.989,083_008-1_001,,,,1,,,,,,,,1
07065022-3015,7,Chiapas,65,Palenque,022-3,15,1,112.3347,065_022-3_015,4762.33775029,1122673.82299,065_022-3_015,,,,1,,,,,,,,1
07071003-8033,7,Chiapas,71,Villa Comaltitlán,003-8,33,7,16.4887,071_003-8_033,1967.94529082,163163.937385,071_003-8_033,,,,3,,,,,,,,3
07003005-7016,7,Chiapas,3,Acapetahua,005-7,16,40,5583.712,003_005-7_016,70537.9784559,55251644.469,003_005-7_016,,,1,1,,,,,,,,2
07020014-7017,7,Chiapas,20,La Concordia,014-7,17,2,84.115,020_014-7_017,3839.04563684,835150.801621,020_014-7_017,,,,1,,,,,,,,1
07013002-A013,7,Chiapas,13,Bochil,002-A,13,6,111.2481,013_002-A_013,4908.01835978,1109826.09757,013_002-A_013,,,,1,,,,,,,,1
07092012-7001,7,Chiapas,92,Tecpatán,012-7,1,49,1234.1781,092_012-7_001,76463.1115129,12320986.2086,092_012-7_001,,,,21,,,,,,1,,22
07061012-0005,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,5,5,24.1477,061_012-0_005,2224.03306202,240803.656597,061_012-0_005,,,,5,,,,,,,,5
07077006-5016,7,Chiapas,77,Salto de Agua,006-5,16,27,49.3722,077_006-5_016,2904.41232929,493368.471172,077_006-5_016,,,,4,,,,,,,,4
07092003-8039,7,Chiapas,92,Tecpatán,003-8,39,8,40.1013,092_003-8_039,2778.70873031,400480.568737,092_003-8_039,,,1,4,,,,,,,,5
07072002-0013,7,Chiapas,72,Pueblo Nuevo Solistahuacán,002-0,13,60,154.776,072_002-0_013,5732.01959454,1544956.45361,072_002-0_013,,,16,,,,,,,,,16
07077002-7004,7,Chiapas,77,Salto de Agua,002-7,4,4,503.4518,077_002-7_004,9921.36627656,5033482.14253,077_002-7_004,,,,4,,,,,,,,4
07054003-7008,7,Chiapas,54,Mazatán,003-7,8,15,100.8997,054_003-7_008,5406.01940533,999908.407331,054_003-7_008,,,,2,,,,,,,,2
07065030-8024,7,Chiapas,65,Palenque,030-8,24,6,67.086,065_030-8_024,5062.36068001,669786.297197,065_030-8_024,,,1,2,,,,,,,,3
07044003-0004,7,Chiapas,44,Ixtapa,003-0,4,577,3191.5109,044_003-0_004,41253.8928659,32468249.2346,044_003-0_004,,,,33,,,,,,,,33
07097008-7015,7,Chiapas,97,Tonalá,008-7,15,1,631.2753,097_008-7_015,13273.5630982,6273541.52695,097_008-7_015,,,,1,,,,,,,,1
07099014-7017,7,Chiapas,99,La Trinitaria,014-7,17,39,131.9136,099_014-7_017,6860.50035411,1310439.75448,099_014-7_017,,,,7,,,,,,,,7
07048007-8003,7,Chiapas,48,Juárez,007-8,3,19,43.1012,048_007-8_003,2982.36749103,430914.900091,048_007-8_003,,,,7,,,,,,,,7
07059067-3001,7,Chiapas,59,Ocosingo,067-3,1,3,7481.2671,059_067-3_001,49677.3293338,74606160.5635,059_067-3_001,,,,3,,,,,,,,3
07107013-6003,7,Chiapas,107,Villa Corzo,013-6,3,168,1293.7324,107_013-6_003,29366.0344033,12858498.2827,107_013-6_003,,,,22,,,,,,,,22
07034004-9007,7,Chiapas,34,Frontera Comalapa,004-9,7,34,67.0122,034_004-9_007,3810.80383615,671486.430776,034_004-9_007,,,,2,,,,,,,,2
07075004-1002,7,Chiapas,75,Las Rosas,004-1,2,3,326.7055,075_004-1_002,8278.17932337,3251110.8286,075_004-1_002,,,,1,,,,,,,1,2
07059062-0001,7,Chiapas,59,Ocosingo,062-0,1,6,5553.4572,059_062-0_001,36624.6457816,55384789.0296,059_062-0_001,,,,5,,,,,,,,5
07106010-5002,7,Chiapas,106,Venustiano Carranza,010-5,2,8,748.7737,106_010-5_002,14715.4289971,7450260.10635,106_010-5_002,,,,1,,,,,,,,1
07069011-4032,7,Chiapas,69,Pijijiapan,011-4,32,8,294.1469,069_011-4_032,9774.35214528,2916044.20319,069_011-4_032,,,,8,,,,,,,,8
07077008-4010,7,Chiapas,77,Salto de Agua,008-4,10,3,98.8043,077_008-4_010,3886.15720903,987073.982174,077_008-4_010,,,,3,,,,,,,,3
07069002-5007,7,Chiapas,69,Pijijiapan,002-5,7,17,401.7217,069_002-5_007,8238.9270576,3986520.49055,069_002-5_007,,,,7,,,,,,,,7
07044002-6030,7,Chiapas,44,Ixtapa,002-6,30,912,624.081,044_002-6_030,19724.2111152,6493163.18157,044_002-6_030,,,,8,,,,,,,,8
07107006-6001,7,Chiapas,107,Villa Corzo,006-6,1,1936,10965.308,107_006-6_001,77078.1188605,110604295.076,107_006-6_001,,,6,349,1,,,,,,,356
07062005-8004,7,Chiapas,62,Ostuacán,005-8,4,7,2285.7154,062_005-8_004,84706.6881403,22828763.0359,062_005-8_004,,,,3,,,,,,,,3
07076003-4007,7,Chiapas,76,Sabanilla,003-4,7,127,169.1894,076_003-4_007,5783.13864435,1689243.18001,076_003-4_007,,,2,,,,,,,,,2
07069013-3013,7,Chiapas,69,Pijijiapan,013-3,13,12,13.6164,069_013-3_013,2528.08756085,135004.58991,069_013-3_013,,,,11,,,,,,,,11
07096003-7008,7,Chiapas,96,Tila,003-7,8,38,327.9134,096_003-7_008,9900.91265535,3277469.20808,096_003-7_008,,,,8,,,,,,,,8
07069014-8020,7,Chiapas,69,Pijijiapan,014-8,20,7,1905.6111,069_014-8_020,51688.0859416,18881911.0845,069_014-8_020,,,,1,,,,,,,,1
07039003-0033,7,Chiapas,39,Huitiupán,003-0,33,79,286.3118,039_003-0_033,9434.80845314,2858178.99731,039_003-0_033,,,,8,,,,,,,,8
07097016-1015,7,Chiapas,97,Tonalá,016-1,15,12,84.6272,097_016-1_015,4053.96792792,840315.660889,097_016-1_015,,,,7,,,,,,,,7
07052016-A004,7,Chiapas,52,Las Margaritas,016-A,4,27,222.9255,052_016-A_004,6215.92077624,2218432.90598,052_016-A_004,,,,4,,,,,,,,4
07092011-2018,7,Chiapas,92,Tecpatán,011-2,18,4,43.8463,092_011-2_018,3065.8631638,437536.287136,092_011-2_018,,,,2,,,,,,,,2
07092012-7002,7,Chiapas,92,Tecpatán,012-7,2,4,5521.0435,092_012-7_002,102417.930683,55110013.1488,092_012-7_002,,,,1,,,,,,,,1
07062001-A026,7,Chiapas,62,Ostuacán,001-A,26,7,30.7671,062_001-A_026,2657.51868768,311983.852002,062_001-A_026,,,,6,,,,,,,,6
07107015-5001,7,Chiapas,107,Villa Corzo,015-5,1,34,1018.6468,107_015-5_001,37989.578829,10128962.719,107_015-5_001,,,,13,,,,,,,,13
07059020-7006,7,Chiapas,59,Ocosingo,020-7,6,45,6670.4645,059_020-7_006,65497.1716667,66565889.7482,059_020-7_006,,,8,6,,,,,,,,14
07016011-0016,7,Chiapas,16,Catazajá,011-0,16,15,139.1856,016_011-0_016,5124.70593428,1392008.79125,016_011-0_016,,,,13,,,,,,,,13
07016011-0030,7,Chiapas,16,Catazajá,011-0,30,15,45.3981,016_011-0_030,3269.72425439,457970.518218,016_011-0_030,,,,12,,,,,,,,12
07072002-0023,7,Chiapas,72,Pueblo Nuevo Solistahuacán,002-0,23,49,18.522,072_002-0_023,2289.96919732,184886.451032,072_002-0_023,,,2,,,,,,,,,2
07071005-7005,7,Chiapas,71,Villa Comaltitlán,005-7,5,3,1441.115,071_005-7_005,18866.6399672,14250644.8182,071_005-7_005,,,,2,,,,,,,,2
07061004-6033,7,Chiapas,61,Ocozocoautla de Espinosa,004-6,33,57,722.1158,061_004-6_033,59655.1109044,7206055.55064,061_004-6_033,,,,3,,,,,,,,3
07020017-0002,7,Chiapas,20,La Concordia,017-0,2,5,5120.9083,020_017-0_002,51681.5557535,50834534.7365,020_017-0_002,,,,1,,,,,,,,1
07099013-2021,7,Chiapas,99,La Trinitaria,013-2,21,49,130.6399,099_013-2_021,5327.35411843,1298075.99654,099_013-2_021,,,,36,,,,,,,,36
07050001-9010,7,Chiapas,50,La Libertad,001-9,10,10,185.4038,050_001-9_010,6171.36602449,1854363.09707,050_001-9_010,,,,6,,,,,,,,6
07027010-A001,7,Chiapas,27,Chiapa de Corzo,010-A,1,75,2595.2758,027_010-A_001,43644.0303561,25826521.1329,027_010-A_001,,,,5,,,,,,,,5
07005002-8009,7,Chiapas,5,Amatán,002-8,9,4,30.0588,005_002-8_009,2522.80971939,300185.342929,005_002-8_009,,,1,,,,,,,,,1
07097015-7003,7,Chiapas,97,Tonalá,015-7,3,7,119.2359,097_015-7_003,7776.65773006,1184291.71705,097_015-7_003,,,,5,,,,,,,,5
07059033-4010,7,Chiapas,59,Ocosingo,033-4,10,5,36.318,059_033-4_010,3931.66846364,362115.876791,059_033-4_010,,,,4,,,,,,,,4
07099017-0002,7,Chiapas,99,La Trinitaria,017-0,2,43,179.353,099_017-0_002,6430.75027854,1782173.98428,099_017-0_002,,,,15,,,,,,,,15
07092014-6004,7,Chiapas,92,Tecpatán,014-6,4,68,1199.9619,092_014-6_004,40549.4997621,11976391.1415,092_014-6_004,,,11,25,,,,,,,,36
07099013-2026,7,Chiapas,99,La Trinitaria,013-2,26,108,62.9748,099_013-2_026,3650.64905723,625668.591355,099_013-2_026,,,,1,,,,,,,,1
07048005-9009,7,Chiapas,48,Juárez,005-9,9,32,1465.8021,048_005-9_009,37906.2261129,14656841.457,048_005-9_009,,,,24,,,,,,,,24
07089026-3014,7,Chiapas,89,Tapachula,026-3,14,18,47.3255,089_026-3_014,3371.58274856,467651.459689,089_026-3_014,,,,4,,,,,,,,4
07107023-A019,7,Chiapas,107,Villa Corzo,023-A,19,2,176.8954,107_023-A_019,6359.84453968,1757170.68818,107_023-A_019,,,,2,,,,,,,,2
07106008-8009,7,Chiapas,106,Venustiano Carranza,008-8,9,8,1458.3852,106_008-8_009,47165.5330569,14499245.1626,106_008-8_009,,,,5,,,,,,,,5
07097006-8003,7,Chiapas,97,Tonalá,006-8,3,15,119.3752,097_006-8_003,4799.89093287,1188803.05331,097_006-8_003,,,2,12,,,,,,,,14
07054004-1007,7,Chiapas,54,Mazatán,004-1,7,46,279.2,054_004-1_007,8027.1956197,2790273.97702,054_004-1_007,,,,4,,,,,,,,4
07089029-7003,7,Chiapas,89,Tapachula,029-7,3,12,55.4866,089_029-7_003,3574.49595393,548019.510204,089_029-7_003,,,,3,,,,,,,,3
07020012-8009,7,Chiapas,20,La Concordia,012-8,9,2,564.5066,020_012-8_009,10093.9076252,5606200.8092,020_012-8_009,,,2,,,,,,,,,2
07065008-3011,7,Chiapas,65,Palenque,008-3,11,21,99.41,065_008-3_011,4684.78165569,1037540.87599,065_008-3_011,,,,8,,,,,,,1,9
07114017-9004,7,Chiapas,114,Benemérito de las Américas,017-9,4,62,1260.0617,114_017-9_004,23023.8750062,12539040.6342,114_017-9_004,,,,5,,,,,,,,5
07039005-A008,7,Chiapas,39,Huitiupán,005-A,8,39,140.6221,039_005-A_008,5343.46934736,1409006.22554,039_005-A_008,,,,6,,,,,,,,6
07023002-6003,7,Chiapas,23,Chamula,002-6,3,4116,11578.8549,023_002-6_003,63544.7748969,115391551.669,023_002-6_003,,,1,,,,,,,54,,55
07016011-0029,7,Chiapas,16,Catazajá,011-0,29,18,57.1608,016_011-0_029,3345.31917098,571599.31993,016_011-0_029,,,1,,,,,,,,1,2
07061012-0012,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,12,2,472.949,061_012-0_012,16809.1330533,4714742.83081,061_012-0_012,,,,2,,,,,,,,2
07059013-7004,7,Chiapas,59,Ocosingo,013-7,4,365,3816.2024,059_013-7_004,30548.9590251,38092086.1252,059_013-7_004,,,,20,,,,,,,,20
07059063-5001,7,Chiapas,59,Ocosingo,063-5,1,6,10443.579,059_063-5_001,52042.7967703,104175953.599,059_063-5_001,,,,1,,,,,,,,1
07067004-A001,7,Chiapas,67,Pantepec,004-A,1,1374,2377.1185,067_004-A_001,52339.1431077,24279219.3081,067_004-A_001,,,2,192,,,,,,,,194
07013007-2002,7,Chiapas,13,Bochil,007-2,2,1372,2920.5566,013_007-2_002,34547.0362274,29326526.0095,013_007-2_002,,,,534,,,,,,,,534
07077007-A011,7,Chiapas,77,Salto de Agua,007-A,11,5,6.4508,077_007-A_011,1252.09051566,65856.9768248,077_007-A_011,,,1,1,,,,,,,,2
07065029-5008,7,Chiapas,65,Palenque,029-5,8,29,110.6959,065_029-5_008,4208.56138458,1105564.46188,065_029-5_008,,,3,,,,,,,,,3
07109003-7013,7,Chiapas,109,Yajalón,003-7,13,88,47.4584,109_003-7_013,2890.30182897,473729.734302,109_003-7_013,,,,1,,,,,,,,1
07051011-A001,7,Chiapas,51,Mapastepec,011-A,1,811,3687.5489,051_011-A_001,43017.2159115,38553649.2038,051_011-A_001,,,35,319,,,,,,1,7,362
07039005-A024,7,Chiapas,39,Huitiupán,005-A,24,19,129.6296,039_005-A_024,5431.44434392,1293678.34815,039_005-A_024,,,,2,,,,,,,,2
07059037-2001,7,Chiapas,59,Ocosingo,037-2,1,2,9796.1532,059_037-2_001,48859.0443027,97623412.307,059_037-2_001,,,,1,,,,,,,,1
07107014-0011,7,Chiapas,107,Villa Corzo,014-0,11,3,150.4966,107_014-0_011,5152.0997346,1495898.22328,107_014-0_011,,,1,2,,,,,,,,3
07009011-6014,7,Chiapas,9,Arriaga,011-6,14,42,101.9877,009_011-6_014,4545.83134999,1040471.23,009_011-6_014,,,3,33,,,,,,,4,40
07099014-7015,7,Chiapas,99,La Trinitaria,014-7,15,3,30.4086,099_014-7_015,2291.72127221,302093.446051,099_014-7_015,,,,1,,,,,,,,1
07009009-9010,7,Chiapas,9,Arriaga,009-9,10,1,6.3496,009_009-9_010,1845.39589204,63128.566006,009_009-9_010,,,,1,,,,,,,,1
07098001-2002,7,Chiapas,98,Totolapa,001-2,2,2074,2928.1552,098_001-2_002,28950.2270019,30551772.6469,098_001-2_002,,,,4,,,,,,,,4
07107011-7017,7,Chiapas,107,Villa Corzo,011-7,17,47,102.4318,107_011-7_017,6509.11019208,1018063.36527,107_011-7_017,,,,47,,,,,,,,47
07099008-1008,7,Chiapas,99,La Trinitaria,008-1,8,11,208.934,099_008-1_008,5896.03037472,2077196.26428,099_008-1_008,,,1,1,,,,,,,,2
07020003-9003,7,Chiapas,20,La Concordia,003-9,3,464,3179.8616,020_003-9_003,51570.9781468,33005726.6518,020_003-9_003,,,6,217,,,,,,1,,224
07062001-A054,7,Chiapas,62,Ostuacán,001-A,54,9,52.0623,062_001-A_054,3054.23773921,520119.191413,062_001-A_054,,,1,2,,,,,,,,3
07061007-A002,7,Chiapas,61,Ocozocoautla de Espinosa,007-A,2,43,8895.9873,061_007-A_002,58793.7473391,88753846.1151,061_007-A_002,,,,2,,,,,,,,2
07051007-3016,7,Chiapas,51,Mapastepec,007-3,16,14,98.3198,051_007-3_016,4549.90262679,974308.520982,051_007-3_016,,,,9,,,,,,,,9
07069011-4025,7,Chiapas,69,Pijijiapan,011-4,25,12,52.7408,069_011-4_025,3760.56526877,522748.471527,069_011-4_025,,,1,8,,,,,,,,9
07092011-2011,7,Chiapas,92,Tecpatán,011-2,11,8,165.2176,092_011-2_011,5665.81798517,1909919.93289,092_011-2_011,,,,5,,,,,,1,,6
07046011-A028,7,Chiapas,46,Jiquipilas,011-A,28,1,23.2666,046_011-A_028,2243.98199619,231547.85218,046_011-A_028,,,,1,,,,,,,,1
07062004-3027,7,Chiapas,62,Ostuacán,004-3,27,3,48.4593,062_004-3_027,2851.80559671,484010.499404,062_004-3_027,,,,3,,,,,,,,3
07065007-9001,7,Chiapas,65,Palenque,007-9,1,5,492.904,065_007-9_001,9230.2578457,4929646.52508,065_007-9_001,,,1,4,,,,,,,,5
07092016-5008,7,Chiapas,92,Tecpatán,016-5,8,8,51.6948,092_016-5_008,2899.13106364,515831.830317,092_016-5_008,,,,6,,,,,,,,6
07009004-6014,7,Chiapas,9,Arriaga,004-6,14,24,288.3186,009_004-6_014,10120.5291874,2868207.43668,009_004-6_014,,,,24,,,,,,,,24
07065018-7010,7,Chiapas,65,Palenque,018-7,10,17,17.1092,065_018-7_010,1730.70436935,177665.416322,065_018-7_010,,,,1,,,,,,,,1
07069011-4010,7,Chiapas,69,Pijijiapan,011-4,10,5,1.4077,069_011-4_010,540.994216061,13955.5895648,069_011-4_010,,,,5,,,,,,,,5
07106015-8002,7,Chiapas,106,Venustiano Carranza,015-8,2,110,6300.8936,106_015-8_002,53768.6710341,62653062.0682,106_015-8_002,,,,1,,,,,,,,1
07097014-2014,7,Chiapas,97,Tonalá,014-2,14,18,73.9988,097_014-2_014,3899.97036922,741387.774934,097_014-2_014,,,,9,,,,,,,2,11
07052040-3001,7,Chiapas,52,Las Margaritas,040-3,1,25,466.7125,052_040-3_001,9404.93107322,4641977.99783,052_040-3_001,,,10,10,,,,,,,,20
07013002-A016,7,Chiapas,13,Bochil,002-A,16,67,117.4847,013_002-A_016,4794.57324178,1172008.38378,013_002-A_016,,,,15,,,,,,,,15
07051009-2001,7,Chiapas,51,Mapastepec,009-2,1,3,16.3535,051_009-2_001,2055.76406964,162058.338965,051_009-2_001,,,,1,,,,,,,,1
07099006-2009,7,Chiapas,99,La Trinitaria,006-2,9,38,404.98,099_006-2_009,9101.26070519,4010981.70061,099_006-2_009,,,,1,,,,,,,,1
07050003-8006,7,Chiapas,50,La Libertad,003-8,6,3,393.902,050_003-8_006,8956.0852011,3938837.71644,050_003-8_006,,,,3,,,,,,,,3
07077005-0027,7,Chiapas,77,Salto de Agua,005-0,27,16,57.5517,077_005-0_027,3105.14824689,575226.585057,077_005-0_027,,,,4,,,,,,,,4
07083002-4005,7,Chiapas,83,Socoltenango,002-4,5,1238,3336.5739,083_002-4_005,44501.8548871,34041658.0712,083_002-4_005,,,,5,,,,,,,,5
07020003-9001,7,Chiapas,20,La Concordia,003-9,1,5,1179.2355,020_003-9_001,56967.75427,11723429.0888,020_003-9_001,,,,2,,,,,,,,2
07012003-7004,7,Chiapas,12,Berriozábal,003-7,4,17,160.803,012_003-7_004,5302.00505816,1603804.68284,012_003-7_004,,,,10,,,,,,,,10
07081003-4007,7,Chiapas,81,Simojovel,003-4,7,91,175.0112,081_003-4_007,6254.4985366,1746593.73571,081_003-4_007,,,,3,,,,,,,,3
07003006-1014,7,Chiapas,3,Acapetahua,006-1,14,11,766.268,003_006-1_014,14006.6457707,7581836.05882,003_006-1_014,,,,9,,,,,,,,9
07002005-A001,7,Chiapas,2,Acala,005-A,1,910,3928.7932,002_005-A_001,47708.2408059,40119701.0728,002_005-A_001,,,1,41,,,,,,,,42
07115003-4010,7,Chiapas,115,Maravilla Tenejapa,003-4,10,24,736.8984,115_003-4_010,11268.0533122,7333099.58864,115_003-4_010,,,1,2,,,,,,,,3
07059013-7006,7,Chiapas,59,Ocosingo,013-7,6,22,23.727,059_013-7_006,2427.08815936,236784.664435,059_013-7_006,,,7,4,,,,,,,,11
07099015-1003,7,Chiapas,99,La Trinitaria,015-1,3,51,763.4853,099_015-1_003,11209.3772979,7583095.64573,099_015-1_003,,,,1,,,,,,,,1
07062001-A005,7,Chiapas,62,Ostuacán,001-A,5,9,329.0051,062_001-A_005,17426.3846001,3287669.60895,062_001-A_005,,,,9,,,,,,,,9
07059021-1002,7,Chiapas,59,Ocosingo,021-1,2,160,5829.424,059_021-1_002,48564.1683028,58182492.3778,059_021-1_002,,,5,16,,,,,,,1,22
07034009-1003,7,Chiapas,34,Frontera Comalapa,009-1,3,12,79.7772,034_009-1_003,4915.69534971,791466.948891,034_009-1_003,,,,2,,,,,,,,2
07059079-6001,7,Chiapas,59,Ocosingo,079-6,1,5,10688.9525,059_079-6_001,58120.1380725,106557391.357,059_079-6_001,,,,3,,,,,,,,3
07013008-7002,7,Chiapas,13,Bochil,008-7,2,2142,2893.3729,013_008-7_002,56288.0103341,30184366.3074,013_008-7_002,,,2,182,,,,,,1,,185
07092011-2001,7,Chiapas,92,Tecpatán,011-2,1,4,4888.5173,092_011-2_001,80391.6890723,48796470.6942,092_011-2_001,,,,3,,,,,,,,3
07046014-3002,7,Chiapas,46,Jiquipilas,014-3,2,725,6212.9546,046_014-3_002,65493.6592099,62511119.2943,046_014-3_002,,,,143,,,,,,,1,144
07054006-0016,7,Chiapas,54,Mazatán,006-0,16,5,14.5071,054_006-0_016,1570.62843997,145010.004475,054_006-0_016,,,,1,,,,,,,,1
07016007-4002,7,Chiapas,16,Catazajá,007-4,2,5,19.2313,016_007-4_002,2056.29916249,192413.29976,016_007-4_002,,,,2,,,,,,,,2
07051004-A005,7,Chiapas,51,Mapastepec,004-A,5,4,208.9807,051_004-A_005,7271.69595309,2071629.525,051_004-A_005,,,,3,,,,,,,,3
07069014-8019,7,Chiapas,69,Pijijiapan,014-8,19,3,17.0756,069_014-8_019,3572.34617018,169178.821531,069_014-8_019,,,,3,,,,,,,,3
07106007-3007,7,Chiapas,106,Venustiano Carranza,007-3,7,560,2395.9568,106_007-3_007,32545.6513509,25121734.5708,106_007-3_007,,,,29,,,,,,,1,30
07092003-8045,7,Chiapas,92,Tecpatán,003-8,45,23,16.4935,092_003-8_045,2685.09030925,170695.64334,092_003-8_045,,,,2,,,,,,,,2
07061018-8002,7,Chiapas,61,Ocozocoautla de Espinosa,018-8,2,4,687.0392,061_018-8_002,13818.2647391,6844373.04604,061_018-8_002,,,1,1,,,,,,,,2
07075005-6013,7,Chiapas,75,Las Rosas,005-6,13,23,83.1956,075_005-6_013,3881.35116115,827712.961248,075_005-6_013,,,,5,,,,,,,,5
07003003-8017,7,Chiapas,3,Acapetahua,003-8,17,6,6.7926,003_003-8_017,1026.73856671,67261.0709181,003_003-8_017,,,,1,,,,,,,,1
07108023-7011,7,Chiapas,108,Villaflores,023-7,11,12,47.0695,108_023-7_011,2790.24621124,467917.624378,108_023-7_011,,,,1,,,,,,,,1
07088001-6009,7,Chiapas,88,Sunuapa,001-6,9,4,568.7219,088_001-6_009,11015.0681252,5682424.91388,088_001-6_009,,,,3,,,,,,,,3
07034003-4013,7,Chiapas,34,Frontera Comalapa,003-4,13,17,441.1738,034_003-4_013,10486.0101692,4378421.79838,034_003-4_013,,,1,1,,,,,,,,2
07008002-A025,7,Chiapas,8,Angel Albino Corzo,002-A,25,6,255.354,008_002-A_025,8162.91231927,2534349.71838,008_002-A_025,,,,4,,,,,,,,4
07020007-7002,7,Chiapas,20,La Concordia,007-7,2,6,1966.2781,020_007-7_002,41515.6247787,19537984.4139,020_007-7_002,,,,3,,,,,,,,3
07040008-4019,7,Chiapas,40,Huixtla,008-4,19,3,9.9756,040_008-4_019,1457.04171374,98596.8203581,040_008-4_019,,,1,,,,,,,,,1
07017022-6013,7,Chiapas,17,Cintalapa,022-6,13,29,162.8695,017_022-6_013,5878.51859141,1664985.17821,017_022-6_013,,,3,17,,,,,,,,20
07030008-8007,7,Chiapas,30,Chicomuselo,008-8,7,528,4942.3921,030_008-8_007,51595.1547384,51017993.2179,030_008-8_007,,,13,99,,,,,,,1,113
07017024-5005,7,Chiapas,17,Cintalapa,024-5,5,4,469.3781,017_024-5_005,11929.8503027,4676601.48777,017_024-5_005,,,,1,,,,,,,,1
07108007-8010,7,Chiapas,108,Villaflores,007-8,10,3,49.4199,108_007-8_010,3448.2163394,491912.710757,108_007-8_010,,,,2,,,,,,,,2
07076003-4014,7,Chiapas,76,Sabanilla,003-4,14,67,1053.7114,076_003-4_014,14122.0453808,10518620.5493,076_003-4_014,,,,37,,,,,,,,37
07065006-4026,7,Chiapas,65,Palenque,006-4,26,5,28.5969,065_006-4_026,2506.04773652,285942.04638,065_006-4_026,,,,2,,,,,,,,2
07108017-1006,7,Chiapas,108,Villaflores,017-1,6,22,126.1348,108_017-1_006,5075.35730279,1254553.96559,108_017-1_006,,,,1,,,,,,,,1
07016002-1009,7,Chiapas,16,Catazajá,002-1,9,7,36.1216,016_002-1_009,5593.23671842,361477.708016,016_002-1_009,,,1,,,,,,,,,1
07009003-1010,7,Chiapas,9,Arriaga,003-1,10,4,213.6176,009_003-1_010,7515.00152484,2125107.57308,009_003-1_010,,,,4,,,,,,,,4
07077002-7010,7,Chiapas,77,Salto de Agua,002-7,10,6,149.0464,077_002-7_010,4806.47114768,1490086.69138,077_002-7_010,,,,6,,,,,,,,6
07092011-2022,7,Chiapas,92,Tecpatán,011-2,22,12,80.3306,092_011-2_022,4928.78988512,923406.665562,092_011-2_022,,,1,2,,,,,,,,3
07099013-2016,7,Chiapas,99,La Trinitaria,013-2,16,2,22.0464,099_013-2_016,2378.50811276,218949.639484,099_013-2_016,,,,1,,,,,,,,1
07052021-0002,7,Chiapas,52,Las Margaritas,021-0,2,86,1906.0757,052_021-0_002,19601.0308267,18975979.9066,052_021-0_002,,,,1,,,,,,,,1
07083003-9020,7,Chiapas,83,Socoltenango,003-9,20,77,47.1936,083_003-9_020,3039.13796767,549541.014056,083_003-9_020,,,,3,,,,,,,,3
07092014-6010,7,Chiapas,92,Tecpatán,014-6,10,8,19.7216,092_014-6_010,1784.63292827,196824.277735,092_014-6_010,,,2,3,,,,,,,,5
07059048-0001,7,Chiapas,59,Ocosingo,048-0,1,208,6841.7471,059_048-0_001,54687.4538184,68228533.6886,059_048-0_001,,,,5,,,,,,,,5
07012005-6004,7,Chiapas,12,Berriozábal,005-6,4,1045,1392.9106,012_005-6_004,35946.6301214,14493887.903,012_005-6_004,,,10,28,,,,,,2,,40
07052030-A012,7,Chiapas,52,Las Margaritas,030-A,12,45,23.373,052_030-A_012,2390.38335897,232545.299297,052_030-A_012,,,,3,,,,,,,,3
07005001-3037,7,Chiapas,5,Amatán,001-3,37,10,36.5011,005_001-3_037,3536.75540201,391794.711278,005_001-3_037,,,,8,,,,,,,,8
07009003-1004,7,Chiapas,9,Arriaga,003-1,4,4,220.4396,009_003-1_004,6641.03644399,2193639.05201,009_003-1_004,,,,3,,,,,,,,3
07092014-6006,7,Chiapas,92,Tecpatán,014-6,6,11,4025.1436,092_014-6_006,95803.2843131,40169395.2616,092_014-6_006,,,2,1,,,,,,,,3
07108023-7001,7,Chiapas,108,Villaflores,023-7,1,7,555.7446,108_023-7_001,11115.0401934,5526815.0024,108_023-7_001,,,2,4,,,,,,,,6
07020011-3020,7,Chiapas,20,La Concordia,011-3,20,28,19.4544,020_011-3_020,2840.72578061,193176.935436,020_011-3_020,,,,,,,,,,,1,1
07093002-0001,7,Chiapas,93,Tenejapa,002-0,1,842,4380.6008,093_002-0_001,46273.1996049,43664805.5476,093_002-0_001,,,,1,,,,,,,,1
07071003-8012,7,Chiapas,71,Villa Comaltitlán,003-8,12,1243,3094.282,071_003-8_012,48707.2315014,32379413.8926,071_003-8_012,,,1,65,,,,,,,,66
07003004-2006,7,Chiapas,3,Acapetahua,004-2,6,1,46.4828,003_004-2_006,2761.36469155,460145.286904,003_004-2_006,,,,1,,,,,,,,1
