control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07017026-4007,7,Chiapas,17,Cintalapa,026-4,7,12,513.7009,017_026-4_007,15179.1181715,5115400.88851,017_026-4_007,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07107020-6023,7,Chiapas,107,Villa Corzo,020-6,23,50,249.351,107_020-6_023,6928.62500393,2491132.6775,107_020-6_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07047003-2009,7,Chiapas,47,Jitotol,003-2,9,1563,1839.7985,047_003-2_009,25651.0216419,18937894.7876,047_003-2_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,137
07026002-8003,7,Chiapas,26,Chenalhó,002-8,3,175,292.6436,026_002-8_003,7252.4896355,2917950.34245,026_002-8_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10
07044003-0003,7,Chiapas,44,Ixtapa,003-0,3,733,1258.6842,044_003-0_003,16264.7632135,13854695.8231,044_003-0_003,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108007-8009,7,Chiapas,108,Villaflores,007-8,9,705,3410.471,108_007-8_009,30370.523536,34774916.1117,108_007-8_009,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07019014-6011,7,Chiapas,19,Comitán de Domínguez,014-6,11,455,320.0025,019_014-6_011,9545.52138602,4108066.20969,019_014-6_011,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,20
07075005-6011,7,Chiapas,75,Las Rosas,005-6,11,22,95.3766,075_005-6_011,4101.18081415,948886.946923,075_005-6_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13
07017011-8009,7,Chiapas,17,Cintalapa,011-8,9,342,1488.8207,017_011-8_009,17036.0782256,15260665.9302,017_011-8_009,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07100004-6008,7,Chiapas,100,Tumbalá,004-6,8,1453,2562.3282,100_004-6_008,20528.7729158,26280583.5725,100_004-6_008,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07034009-1011,7,Chiapas,34,Frontera Comalapa,009-1,11,425,1348.2673,034_009-1_011,15630.2728676,14769808.395,034_009-1_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
07057005-8017,7,Chiapas,57,Motozintla,005-8,17,442,481.0651,057_005-8_017,10366.6404194,4902828.94681,057_005-8_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,3
