control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07108009-7025,7,Chiapas,108,Villaflores,009-7,25,140,445.9879,108_009-7_025,9539.79419594,4446610.33537,108_009-7_025,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07071002-3018,7,Chiapas,71,Villa Comaltitlán,002-3,18,56,501.7348,071_002-3_018,9691.01682211,5379479.95414,071_002-3_018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
07078011-3008,7,Chiapas,78,San Cristóbal de las Casas,011-3,8,2,1080.348,078_011-3_008,20244.8273702,10761312.7936,078_011-3_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07028002-2001,7,Chiapas,28,Chiapilla,002-2,1,1144,2332.6384,028_002-2_001,37533.0665468,24413132.1723,028_002-2_001,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07017017-5003,7,Chiapas,17,Cintalapa,017-5,3,139,4607.4206,017_017-5_003,32138.2272684,45914299.7314,017_017-5_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
07047003-2024,7,Chiapas,47,Jitotol,003-2,24,20,26.6125,047_003-2_024,2321.36335615,268167.448921,047_003-2_024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5
07092016-5003,7,Chiapas,92,Tecpatán,016-5,3,39,649.8918,092_016-5_003,12941.0348847,6485906.27821,092_016-5_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108009-7004,7,Chiapas,108,Villaflores,009-7,4,170,824.3238,108_009-7_004,13983.1322024,8204161.28768,108_009-7_004,,,,,,,,,,,,,,,,,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
07072003-5008,7,Chiapas,72,Pueblo Nuevo Solistahuacán,003-5,8,534,935.6201,072_003-5_008,16031.3067338,9461237.5628,072_003-5_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07041006-2003,7,Chiapas,41,La Independencia,006-2,3,166,1145.815,041_006-2_003,15131.938836,11398990.5118,041_006-2_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07107005-1012,7,Chiapas,107,Villa Corzo,005-1,12,6,419.5781,107_005-1_012,9915.33125583,4172894.91459,107_005-1_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07017024-5005,7,Chiapas,17,Cintalapa,024-5,5,4,469.3781,017_024-5_005,11929.8503027,4676601.48777,017_024-5_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07013003-4015,7,Chiapas,13,Bochil,003-4,15,113,224.5105,013_003-4_015,6118.60582889,2303951.72654,013_003-4_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
07044002-6008,7,Chiapas,44,Ixtapa,002-6,8,1120,993.6627,044_002-6_008,17173.1296296,10047790.4576,044_002-6_008,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
07046011-A017,7,Chiapas,46,Jiquipilas,011-A,17,186,713.3445,046_011-A_017,12717.920409,7219120.8426,046_011-A_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7
07020012-8003,7,Chiapas,20,La Concordia,012-8,3,2,338.9148,020_012-8_003,10458.4315033,3366234.67504,020_012-8_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07057003-9015,7,Chiapas,57,Motozintla,003-9,15,22,257.0766,057_003-9_015,11197.8300479,2546235.4361,057_003-9_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
07065030-8012,7,Chiapas,65,Palenque,030-8,12,38,639.53,065_030-8_012,11800.0788189,6612212.38173,065_030-8_012,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07061004-6015,7,Chiapas,61,Ocozocoautla de Espinosa,004-6,15,457,1785.1394,061_004-6_015,28586.8048236,18471360.48,061_004-6_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
07017011-8017,7,Chiapas,17,Cintalapa,011-8,17,92,862.7448,017_011-8_017,21382.124544,8720808.63538,017_011-8_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017010-3009,7,Chiapas,17,Cintalapa,010-3,9,54,275.0627,017_010-3_009,7462.47079505,2826170.86683,017_010-3_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
07003006-1014,7,Chiapas,3,Acapetahua,006-1,14,11,766.268,003_006-1_014,14006.6457707,7581836.05882,003_006-1_014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07030007-3004,7,Chiapas,30,Chicomuselo,007-3,4,15,61.1708,030_007-3_004,4603.28632556,606969.76699,030_007-3_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07067002-0002,7,Chiapas,67,Pantepec,002-0,2,15,183.1391,067_002-0_002,5737.49078439,1827754.69988,067_002-0_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07034005-3015,7,Chiapas,34,Frontera Comalapa,005-3,15,51,77.6159,034_005-3_015,4188.71664195,779225.734162,034_005-3_015,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
07108013-3007,7,Chiapas,108,Villaflores,013-3,7,35,299.0243,108_013-3_007,7575.239466,2989469.29287,108_013-3_007,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
07032004-4006,7,Chiapas,32,Escuintla,004-4,6,201,1166.3404,032_004-4_006,20231.6131912,12055066.0275,032_004-4_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
07107013-6017,7,Chiapas,107,Villa Corzo,013-6,17,78,202.8936,107_013-6_017,8330.71232983,2091451.88575,107_013-6_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
07046010-5001,7,Chiapas,46,Jiquipilas,010-5,1,558,2242.4198,046_010-5_001,28040.6279095,24169296.6528,046_010-5_001,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07046015-8006,7,Chiapas,46,Jiquipilas,015-8,6,437,2509.4871,046_015-8_006,34988.821638,25601914.2318,046_015-8_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07108022-2010,7,Chiapas,108,Villaflores,022-2,10,112,1078.5614,108_022-2_010,22396.7229408,10817112.7216,108_022-2_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
07072004-A013,7,Chiapas,72,Pueblo Nuevo Solistahuacán,004-A,13,850,563.3353,072_004-A_013,18505.8727348,6008092.5622,072_004-A_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07116005-0003,7,Chiapas,116,Marqués de Comillas,005-0,3,230,6643.5596,116_005-0_003,43339.7143924,66860507.6909,116_005-0_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07020016-6008,7,Chiapas,20,La Concordia,016-6,8,185,1959.131,020_016-6_008,34140.4388625,19999057.228,020_016-6_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4
07061013-5001,7,Chiapas,61,Ocozocoautla de Espinosa,013-5,1,768,1673.0185,061_013-5_001,28461.6066637,17306729.8743,061_013-5_001,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,14
07099011-3005,7,Chiapas,99,La Trinitaria,011-3,5,243,105.101,099_011-3_005,5387.16144544,1267571.11393,099_011-3_005,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07116005-0007,7,Chiapas,116,Marqués de Comillas,005-0,7,102,3416.0088,116_005-0_007,27521.0329333,34678912.9896,116_005-0_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
07020003-9013,7,Chiapas,20,La Concordia,003-9,13,57,771.6213,020_003-9_013,26699.363091,7668583.57771,020_003-9_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017021-1007,7,Chiapas,17,Cintalapa,021-1,7,143,1063.6212,017_021-1_007,19743.1947202,10885281.5469,017_021-1_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07046015-8002,7,Chiapas,46,Jiquipilas,015-8,2,2,235.258,046_015-8_002,8996.374383,2340989.00662,046_015-8_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07041002-4006,7,Chiapas,41,La Independencia,002-4,6,180,1141.578,041_002-4_006,16927.3951603,11258160.8366,041_002-4_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07014001-2015,7,Chiapas,14,El Bosque,001-2,15,497,239.6189,014_001-2_015,7358.53625242,2501848.25971,014_001-2_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
07037004-0022,7,Chiapas,37,Huehuetán,004-0,22,70,108.9862,037_004-0_022,4645.3329299,1212897.54607,037_004-0_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
07013003-4004,7,Chiapas,13,Bochil,003-4,4,113,436.6964,013_003-4_004,8899.56485733,4854404.81619,013_003-4_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
07102002-1006,7,Chiapas,102,Tuxtla Chico,002-1,6,249,762.4704,102_002-1_006,15024.4193478,7670054.8538,102_002-1_006,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017017-5011,7,Chiapas,17,Cintalapa,017-5,11,40,433.624,017_017-5_011,8880.56887958,4364704.25289,017_017-5_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
07020007-7019,7,Chiapas,20,La Concordia,007-7,19,24,557.1072,020_007-7_019,9636.18778736,5533904.29613,020_007-7_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8
07099010-9025,7,Chiapas,99,La Trinitaria,010-9,25,31,93.2481,099_010-9_025,4193.72673193,1001146.2728,099_010-9_025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07040006-5003,7,Chiapas,40,Huixtla,006-5,3,410,438.542,040_006-5_003,13004.8798211,6136828.9053,040_006-5_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07052037-1005,7,Chiapas,52,Las Margaritas,037-1,5,345,1595.7675,052_037-1_005,18306.0700393,16240999.4579,052_037-1_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07017016-0008,7,Chiapas,17,Cintalapa,016-0,8,51,936.2893,017_016-0_008,15522.6456074,9329371.69217,017_016-0_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07047003-2003,7,Chiapas,47,Jitotol,003-2,3,43,294.2662,047_003-2_003,7172.62143785,2935882.96909,047_003-2_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,12
07099017-0004,7,Chiapas,99,La Trinitaria,017-0,4,19,20.487,099_017-0_004,2240.16942198,203577.415689,099_017-0_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07030010-5001,7,Chiapas,30,Chicomuselo,010-5,1,59,376.8312,030_010-5_001,8814.49594134,3884384.26027,030_010-5_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07025002-0006,7,Chiapas,25,Chapultenango,002-0,6,334,805.1277,025_002-0_006,14356.9539418,8669973.5152,025_002-0_006,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07115002-A007,7,Chiapas,115,Maravilla Tenejapa,002-A,7,501,992.2225,115_002-A_007,14389.885989,10808635.7674,115_002-A_007,,,,,,,4,,,,,,,41,4,,,,,2,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,3,68
07017011-8010,7,Chiapas,17,Cintalapa,011-8,10,267,1472.8435,017_011-8_010,40951.6881372,14916157.9002,017_011-8_010,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
07061013-5003,7,Chiapas,61,Ocozocoautla de Espinosa,013-5,3,128,470.7634,061_013-5_003,12420.2451028,4692354.4937,061_013-5_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108021-8016,7,Chiapas,108,Villaflores,021-8,16,117,440.2593,108_021-8_016,11235.8779307,4379116.65686,108_021-8_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,117
07103002-9026,7,Chiapas,103,Tuzantán,002-9,26,166,111.4088,103_002-9_026,4850.28914734,1157162.27159,103_002-9_026,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07046011-A001,7,Chiapas,46,Jiquipilas,011-A,1,466,2243.0743,046_011-A_001,26956.0125316,23351526.117,046_011-A_001,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07075005-6009,7,Chiapas,75,Las Rosas,005-6,9,36,1115.879,075_005-6_009,31441.7958076,11102688.0977,075_005-6_009,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,8
07116011-6001,7,Chiapas,116,Marqués de Comillas,011-6,1,205,2643.7354,116_011-6_001,37557.6101503,26660995.6539,116_011-6_001,,,,,,,,,,,,,,,4,1,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,13,,,,,,,,,55
07079006-A024,7,Chiapas,79,San Fernando,006-A,24,175,533.0883,079_006-A_024,12439.0176254,5656012.15049,079_006-A_024,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07092013-1005,7,Chiapas,92,Tecpatán,013-1,5,137,2291.7504,092_013-1_005,37476.1966811,23546291.6595,092_013-1_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
07046015-8018,7,Chiapas,46,Jiquipilas,015-8,18,31,143.0326,046_015-8_018,5072.10695067,1423057.33536,046_015-8_018,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
07030010-5003,7,Chiapas,30,Chicomuselo,010-5,3,321,1556.5959,030_010-5_003,30618.3578891,16649258.0758,030_010-5_003,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07052010-2001,7,Chiapas,52,Las Margaritas,010-2,1,49,2063.8496,052_010-2_001,20796.3360503,20549209.8517,052_010-2_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07046005-4001,7,Chiapas,46,Jiquipilas,005-4,1,937,1709.7664,046_005-4_001,19262.5873815,17393591.7039,046_005-4_001,,,,,,,,,,,,,,,14,,,,,11,,,,,,,,,,,,,,,,,1,,,,,,,26,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,53
07108019-0010,7,Chiapas,108,Villaflores,019-0,10,130,364.3647,108_019-0_010,10331.9062373,4005845.7096,108_019-0_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
07107019-3010,7,Chiapas,107,Villa Corzo,019-3,10,181,1789.7302,107_019-3_010,33894.7271999,17876949.4795,107_019-3_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07107007-0013,7,Chiapas,107,Villa Corzo,007-0,13,42,279.639,107_007-0_013,8862.36950354,2856553.81025,107_007-0_013,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
07017052-7002,7,Chiapas,17,Cintalapa,052-7,2,104,4222.582,017_052-7_002,31984.6355291,42102131.912,017_052-7_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,104
07075005-6003,7,Chiapas,75,Las Rosas,005-6,3,31,574.634,075_005-6_003,14550.2547907,5718396.10582,075_005-6_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4
07104002-6003,7,Chiapas,104,Tzimol,002-6,3,1553,3763.6642,104_002-6_003,29735.1589429,39246501.5148,104_002-6_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
07061012-0016,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,16,3,977.0519,061_012-0_016,15851.236998,9739215.2586,061_012-0_016,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07046008-8005,7,Chiapas,46,Jiquipilas,008-8,5,77,1372.1473,046_008-8_005,19756.0678327,13661831.2801,046_008-8_005,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07031010-2006,7,Chiapas,31,Chilón,010-2,6,733,1041.2291,031_010-2_006,26371.749364,10846975.5664,031_010-2_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07083008-1009,7,Chiapas,83,Socoltenango,008-1,9,206,566.9727,083_008-1_009,14518.7406689,5722347.74667,083_008-1_009,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,9
07046015-8001,7,Chiapas,46,Jiquipilas,015-8,1,107,1686.5328,046_015-8_001,24320.207443,16837156.9357,046_015-8_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07065008-3001,7,Chiapas,65,Palenque,008-3,1,10,2807.0623,065_008-3_001,30897.2237304,28071340.6756,065_008-3_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
07061020-5019,7,Chiapas,61,Ocozocoautla de Espinosa,020-5,19,18,269.5478,061_020-5_019,8018.51631834,2682383.49591,061_020-5_019,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07080006-0004,7,Chiapas,80,Siltepec,006-0,4,170,941.842,080_006-0_004,15012.9444475,9332772.54978,080_006-0_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07089029-7021,7,Chiapas,89,Tapachula,029-7,21,19,138.093,089_029-7_021,8280.73292272,1876912.85147,089_029-7_021,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07034005-3007,7,Chiapas,34,Frontera Comalapa,005-3,7,643,2209.9669,034_005-3_007,26178.8396501,22605899.0335,034_005-3_007,,,,,,1,21,2,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
07107006-6001,7,Chiapas,107,Villa Corzo,006-6,1,1936,10965.308,107_006-6_001,77078.1188605,110604295.076,107_006-6_001,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
07107027-8010,7,Chiapas,107,Villa Corzo,027-8,10,46,195.6419,107_027-8_010,6362.38888925,2035625.86592,107_027-8_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07094003-2019,7,Chiapas,94,Teopisca,003-2,19,21,36.7311,094_003-2_019,3475.56032769,365736.970948,094_003-2_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5
07046010-5008,7,Chiapas,46,Jiquipilas,010-5,8,575,2436.945,046_010-5_008,22473.8788468,25885034.9951,046_010-5_008,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
07094004-7007,7,Chiapas,94,Teopisca,004-7,7,700,171.0286,094_004-7_007,6188.05758682,1727443.57347,094_004-7_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07090001-4005,7,Chiapas,90,Tapalapa,001-4,5,34,172.3265,090_001-4_005,5315.92978065,1719749.40206,090_001-4_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
07017029-8012,7,Chiapas,17,Cintalapa,029-8,12,10,509.6725,017_029-8_012,12715.1555957,5072355.45098,017_029-8_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07116004-6001,7,Chiapas,116,Marqués de Comillas,004-6,1,315,9070.8535,116_004-6_001,62545.3947095,91818192.5603,116_004-6_001,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
07107005-1003,7,Chiapas,107,Villa Corzo,005-1,3,511,5193.1214,107_005-1_003,44910.5289111,52283074.5296,107_005-1_003,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
