"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"175","07003004-2009","07","Chiapas","003","Acapetahua","004-2","009","98",119.6035,0,8,54,58,72.4096,7395099.20016,7.32266326530612,0,0.0816326530612245,0.591836734693878,0.673469387755102
"176","07003004-2010","07","Chiapas","003","Acapetahua","004-2","010","3",322.3011,0,0,0,0,0,0,0,0,0,0,0
"177","07003004-2011","07","Chiapas","003","Acapetahua","004-2","011","149",1552.7001,0,68,44,62,631.3953,62556135.204,41.6832241610738,0,0.456375838926175,0.416107382550336,0.87248322147651
"178","07003004-2012","07","Chiapas","003","Acapetahua","004-2","012","2",947.3744,0,0,24,2,947.3744,18753382.6857,947.3744,0,0,1,1
"179","07003004-2013","07","Chiapas","003","Acapetahua","004-2","013","102",277.7704,0,19,39,36,143.8484,8975973.82752,8.16971764705882,0,0.186274509803922,0.352941176470588,0.53921568627451
"180","07003004-2014","07","Chiapas","003","Acapetahua","004-2","014","102",974.1628,0,30,56,55,561.6205,40687594.3024,38.202462745098,0,0.294117647058824,0.53921568627451,0.833333333333333
"181","07003004-2017","07","Chiapas","003","Acapetahua","004-2","017","4",33.733,0,1,0,0,0,0,0,0,0.25,0,0.25
"182","07003004-2018","07","Chiapas","003","Acapetahua","004-2","018","1",1.1948,0,0,0,0,0,0,0,0,0,0,0
"183","07003004-2019","07","Chiapas","003","Acapetahua","004-2","019","31",135.8938,0,10,57,16,68.8731,4288902.99894,13.1510129032258,0,0.32258064516129,0.516129032258065,0.838709677419355
"184","07003004-2022","07","Chiapas","003","Acapetahua","004-2","022","31",69.1835,0,3,66,28,62.0178,2078621.460336,6.69517741935484,0,0.0967741935483871,0.903225806451613,1
"185","07003004-2023","07","Chiapas","003","Acapetahua","004-2","023","16",43.1446,0,0,69,11,32.5811,1359105.423894,8.0896125,0,0,0.6875,0.6875
"186","07003004-2024","07","Chiapas","003","Acapetahua","004-2","024","43",168.8825,0,3,72,21,82.4775,4646164.13376,11.7825,0,0.0697674418604651,0.488372093023256,0.558139534883721
"187","07003005-7001","07","Chiapas","003","Acapetahua","005-7","001","181",1456.9937,0,41,3,105,785.4534,44160378.1014,24.1490668508287,0,0.226519337016575,0.580110497237569,0.806629834254144
"188","07003005-7003","07","Chiapas","003","Acapetahua","005-7","003","29",1036.9472,0,12,6,2,71.5136,20530882.6832,71.5136,0,0.413793103448276,0.0689655172413793,0.482758620689655
"189","07003005-7004","07","Chiapas","003","Acapetahua","005-7","004","1",751.7094,0,1,0,0,0,0,0,0,1,0,1
"190","07003005-7005","07","Chiapas","003","Acapetahua","005-7","005","28",146.6952,0,2,5,22,122.8188,1487867.12267,5.23911428571429,0,0.0714285714285714,0.785714285714286,0.857142857142857
"191","07003005-7006","07","Chiapas","003","Acapetahua","005-7","006","91",284.8222,0,0,12,78,275.2555,6642685.60296,6.25982857142857,0,0,0.857142857142857,0.857142857142857
"192","07003005-7007","07","Chiapas","003","Acapetahua","005-7","007","3",74.1347,0,3,0,0,0,0,0,0,1,0,1
"193","07003005-7008","07","Chiapas","003","Acapetahua","005-7","008","27",892.9934,0,15,16,8,96.4413,17676589.89374,66.1476592592593,0,0.555555555555556,0.296296296296296,0.851851851851852
"194","07003005-7009","07","Chiapas","003","Acapetahua","005-7","009","39",653.1502,0,9,27,26,308.9014,19393380.98403,50.2423230769231,0,0.230769230769231,0.666666666666667,0.897435897435897
"195","07003005-7011","07","Chiapas","003","Acapetahua","005-7","011","86",339.1385,0,0,22,78,305.8938,7358510.11016,7.88694186046512,0,0,0.906976744186046,0.906976744186046
"196","07003005-7013","07","Chiapas","003","Acapetahua","005-7","013","81",914.7758,0,21,26,47,636.8241,18674483.45628,22.5870567901235,0,0.259259259259259,0.580246913580247,0.839506172839506
"197","07003005-7015","07","Chiapas","003","Acapetahua","005-7","015","69",340.9438,0,11,30,45,224.9897,6831723.9681,9.88242898550725,0,0.159420289855072,0.652173913043478,0.811594202898551
"198","07003005-7016","07","Chiapas","003","Acapetahua","005-7","016","40",5583.712,0,2,32,5,697.964,110503288.938,279.1856,0,0.05,0.125,0.175
"199","07003005-7017","07","Chiapas","003","Acapetahua","005-7","017","29",325.3653,0,20,0,0,0,0,0,0,0.689655172413793,0,0.689655172413793
"200","07003005-7018","07","Chiapas","003","Acapetahua","005-7","018","28",635.2836,0,24,18,3,84.8818,6286876.6906,22.6887,0,0.857142857142857,0.107142857142857,0.964285714285714
