"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"2092","07031010-2003","07","Chiapas","031","Chilón","010-2","003","64",471.7312,0,0,9,59,434.8772,14122726.55688,22.1124,0,0,0.921875,0.921875
"2093","07031010-2004","07","Chiapas","031","Chilón","010-2","004","1",1067.193,0,0,0,0,0,0,0,0,0,0,0
"2094","07031010-2005","07","Chiapas","031","Chilón","010-2","005","119",618.1574,0,0,15,107,555.8222,18505283.70489,15.5838,0,0,0.899159663865546,0.899159663865546
"2095","07031010-2006","07","Chiapas","031","Chilón","010-2","006","733",1041.2291,2,40,18,333,352.8009,32540926.6992,4.26151064120055,0.00272851296043656,0.0545702592087312,0.454297407912688,0.511596180081855
"2096","07031010-2007","07","Chiapas","031","Chilón","010-2","007","76",156.7209,0,0,14,60,112.9968,3176679.27656,4.12423421052632,0,0,0.789473684210526,0.789473684210526
"2097","07031010-2008","07","Chiapas","031","Chilón","010-2","008","12",100.0968,0,0,16,12,100.0968,1997446.894184,16.6828,0,0,1,1
"2098","07031011-7001","07","Chiapas","031","Chilón","011-7","001","83",1431.9077,0,0,1,82,1414.6558,15023643.2438,17.2519,0,0,0.987951807228916,0.987951807228916
"2099","07031011-7002","07","Chiapas","031","Chilón","011-7","002","10",288.063,0,1,4,9,255.0454,5750182.92718,57.6126,0,0.1,0.9,1
"2100","07031011-7003","07","Chiapas","031","Chilón","011-7","003","135",576.1964,0,1,6,132,283.8,11501239.65702,8.53624296296296,0,0.00740740740740741,0.977777777777778,0.985185185185185
"2101","07031011-7004","07","Chiapas","031","Chilón","011-7","004","107",1071.3375,0,9,12,88,881.1,32080285.9962,30.0375,0,0.0841121495327103,0.822429906542056,0.906542056074766
"2102","07031011-7005","07","Chiapas","031","Chilón","011-7","005","25",265.735,0,0,5,25,265.735,2652082.64607,10.6294,0,0,1,1
"2103","07031011-7006","07","Chiapas","031","Chilón","011-7","006","2",930.779,0,0,0,0,0,0,0,0,0,0,0
"2104","07031011-7007","07","Chiapas","031","Chilón","011-7","007","4",783.632,0,0,0,0,0,0,0,0,0,0,0
"2105","07031011-7008","07","Chiapas","031","Chilón","011-7","008","1",718.6055,0,0,8,1,718.6055,7171368.57572,718.6055,0,0,1,1
"2106","07031011-7009","07","Chiapas","031","Chilón","011-7","009","159",750.4959,0,0,27,153,722.1753,22465258.083,14.1603,0,0,0.962264150943396,0.962264150943396
"2107","07031011-7010","07","Chiapas","031","Chilón","011-7","010","76",810.844,0,0,30,73,778.837,24272559.71529,32.007,0,0,0.960526315789474,0.960526315789474
"2108","07031011-7011","07","Chiapas","031","Chilón","011-7","011","45",304.848,0,1,22,33,223.5552,6083956.72102,13.5488,0,0.0222222222222222,0.733333333333333,0.755555555555556
"2109","07031011-7012","07","Chiapas","031","Chilón","011-7","012","172",453.4121,0,0,36,156,261.8973,13630499.10606,7.90835058139535,0,0,0.906976744186046,0.906976744186046
"2110","07031011-7013","07","Chiapas","031","Chilón","011-7","013","97",629.2487,0,0,39,94,609.7874,18834955.58547,19.4613,0,0,0.969072164948454,0.969072164948454
"2111","07031011-7014","07","Chiapas","031","Chilón","011-7","014","26",32.2849,0,0,28,22,31.1143,789209.765844,2.48345384615385,0,0,0.846153846153846,0.846153846153846
"2112","07031011-7015","07","Chiapas","031","Chilón","011-7","015","46",89.8847,0,0,30,43,85.2444,1870966.968604,3.90803043478261,0,0,0.934782608695652,0.934782608695652
"2113","07031011-7016","07","Chiapas","031","Chilón","011-7","016","83",47.4432,0,0,48,74,44.1094,1537911.848181,1.71481445783133,0,0,0.891566265060241,0.891566265060241
"2114","07031012-1001","07","Chiapas","031","Chilón","012-1","001","694",3115.6588,0,3,2,690,3097.6752,62193951.1434,8.97884380403458,0,0.00432276657060519,0.994236311239193,0.998559077809798
"2115","07031012-1002","07","Chiapas","031","Chilón","012-1","002","3",6333.2928,0,0,4,2,4222.1952,126407715.4976,4222.1952,0,0,0.666666666666667,0.666666666666667
"2116","07031013-6001","07","Chiapas","031","Chilón","013-6","001","134",742.2126,0,0,4,123,681.2847,29625360.51688,22.1556,0,0,0.917910447761194,0.917910447761194
"2117","07031013-6002","07","Chiapas","031","Chilón","013-6","002","877",6742.3924,0,5,4,871,3351.9564,136024172.5644,15.376037400228,0,0.00570125427594071,0.993158494868871,0.998859749144812
"2118","07031013-6003","07","Chiapas","031","Chilón","013-6","003","30",119.958,0,0,6,28,111.9608,2393831.45076,7.9972,0,0,0.933333333333333,0.933333333333333
"2119","07031013-6004","07","Chiapas","031","Chilón","013-6","004","138",86.7193,0,0,12,128,81.3552,2912523.421419,1.88520217391304,0,0,0.927536231884058,0.927536231884058
"2120","07031013-6005","07","Chiapas","031","Chilón","013-6","005","65",197.7854,0,0,15,56,126.5958,5920966.62414,9.12855692307692,0,0,0.861538461538462,0.861538461538462
"2121","07031013-6006","07","Chiapas","031","Chilón","013-6","006","72",325.7424,0,1,12,71,321.2182,6500663.7903,9.0484,0,0.0138888888888889,0.986111111111111,1
"2122","07031013-6007","07","Chiapas","031","Chilón","013-6","007","95",718.979,0,0,7,95,718.979,7174089.47984,7.5682,0,0,1,1
"2123","07031013-6008","07","Chiapas","031","Chilón","013-6","008","19",47.2131,0,0,8,19,47.2131,471142.829203,2.4849,0,0,1,1
"2124","07031014-0001","07","Chiapas","031","Chilón","014-0","001","7",2407.9804,0,0,1,5,1719.986,24036202.9773,343.9972,0,0,0.714285714285714,0.714285714285714
"2125","07031014-0002","07","Chiapas","031","Chilón","014-0","002","15",687.5475,0,0,6,12,550.038,20589136.77636,137.5095,0,0,0.8,0.8
"2126","07031014-0003","07","Chiapas","031","Chilón","014-0","003","204",3132.8688,0,2,9,184,2825.7248,93799664.6847,46.0716,0,0.00980392156862745,0.901960784313726,0.911764705882353
"2127","07031015-5001","07","Chiapas","031","Chilón","015-5","001","1",11841.3327,0,0,1,1,11841.3327,118159320.955,11841.3327,0,0,1,1
"2128","07031015-5002","07","Chiapas","031","Chilón","015-5","002","37",2987.0581,0,0,2,33,2886.838,29799757.1356,80.7313,0,0,0.891891891891892,0.891891891891892
"2129","07031015-5003","07","Chiapas","031","Chilón","015-5","003","58",924.1082,0,0,3,58,924.1082,9219105.34241,15.9329,0,0,1,1
"2130","07031015-5004","07","Chiapas","031","Chilón","015-5","004","1",1102.1887,0,1,0,0,0,0,0,0,1,0,1
"2131","07031016-A001","07","Chiapas","031","Chilón","016-A","001","1",14622.7145,0,0,0,0,0,0,0,0,0,0,0
"2132","07031016-A002","07","Chiapas","031","Chilón","016-A","002","11",47.9424,0,0,4,9,39.2256,956616.24163,8.7168,0,0,0.818181818181818,0.818181818181818
"2133","07031017-4001","07","Chiapas","031","Chilón","017-4","001","1074",4967.0914,0,3,4,1069,4940.1469,198567550.17,18.499409310987,0,0.00279329608938547,0.995344506517691,0.998137802607076
"2134","07031017-4002","07","Chiapas","031","Chilón","017-4","002","110",1591.766,0,0,6,92,1331.2952,47635956.339,43.4118,0,0,0.836363636363636,0.836363636363636
"2135","07031017-4003","07","Chiapas","031","Chilón","017-4","003","646",3526.1264,0,0,18,563,3073.0792,211019337.963,32.7504,0,0,0.871517027863777,0.871517027863777
"2136","07031017-4004","07","Chiapas","031","Chilón","017-4","004","58",224.663,0,0,8,52,201.422,4481480.49782,7.747,0,0,0.896551724137931,0.896551724137931
"2137","07031017-4005","07","Chiapas","031","Chilón","017-4","005","8",68.32,0,0,10,8,68.32,1363228.149762,17.08,0,0,1,1
"2138","07031019-3001","07","Chiapas","031","Chilón","019-3","001","4",10081.0515,0,0,2,3,8470.9807,201140983.06,5040.52575,0,0,0.75,0.75
"2139","07031019-3003","07","Chiapas","031","Chilón","019-3","003","326",229.4362,1,56,9,255,144.5723,7379651.09133,2.11137607361963,0.00306748466257669,0.171779141104294,0.782208588957055,0.957055214723926
"2140","07031019-3004","07","Chiapas","031","Chilón","019-3","004","123",749.6358,0,1,8,122,743.5412,14955648.89962,12.1892,0,0.00813008130081301,0.991869918699187,1
"2141","07031019-3005","07","Chiapas","031","Chilón","019-3","005","34",610.7125,0,0,10,29,374.3934,12184166.73504,35.9242647058824,0,0,0.852941176470588,0.852941176470588
"2142","07031019-3006","07","Chiapas","031","Chilón","019-3","006","9",18.6705,0,0,12,9,18.6705,372504.805652,4.149,0,0,1,1
"2143","07031019-3007","07","Chiapas","031","Chilón","019-3","007","22",30.1777,0,0,14,22,30.1777,695534.725074,2.74342727272727,0,0,1,1
"2144","07031019-3008","07","Chiapas","031","Chilón","019-3","008","54",93.1577,0,0,16,37,68.9657,1951996.421922,3.45028518518519,0,0,0.685185185185185,0.685185185185185
"2145","07031020-6001","07","Chiapas","031","Chilón","020-6","001","593",4757.9355,0,1,4,529,4244.4315,189818787.542,32.094,0,0.00168634064080944,0.892074198988196,0.893760539629005
"2146","07031020-6002","07","Chiapas","031","Chilón","020-6","002","68",245.0584,0,1,6,59,212.6242,7331995.51023,10.8114,0,0.0147058823529412,0.867647058823529,0.882352941176471
"2147","07031020-6003","07","Chiapas","031","Chilón","020-6","003","55",51.722,0,0,3,55,51.722,515822.88194,0.9404,0,0,1,1
"2148","07032002-5001","07","Chiapas","032","Escuintla","002-5","001","10",2425.296,0,0,2,6,1455.1776,48057040.381,485.0592,0,0,0.6,0.6
"2149","07032002-5002","07","Chiapas","032","Escuintla","002-5","002","136",2022.8235,0,0,2,106,1679.6106,20102796.6569,14.8737022058824,0,0,0.779411764705882,0.779411764705882
"2150","07032002-5003","07","Chiapas","032","Escuintla","002-5","003","1",5.1559,0,0,3,1,5.1559,44289628.8815,5.1559,0,0,1,1
"2151","07032002-5004","07","Chiapas","032","Escuintla","002-5","004","7",59.7618,0,0,8,7,59.7618,1183873.949786,17.0748,0,0,1,1
"2152","07032002-5005","07","Chiapas","032","Escuintla","002-5","005","44",185.6624,0,0,10,43,181.4428,3677827.41002,8.4392,0,0,0.977272727272727,0.977272727272727
"2153","07032003-A003","07","Chiapas","032","Escuintla","003-A","003","160",5741.1974,0,17,3,140,4984.126,56974158.1464,35.88248375,0,0.10625,0.875,0.98125
"2154","07032003-A005","07","Chiapas","032","Escuintla","003-A","005","83",367.9639,0,0,10,62,274.8646,7289470.67862,8.8666,0,0,0.746987951807229,0.746987951807229
"2155","07032003-A006","07","Chiapas","032","Escuintla","003-A","006","317",1385.5908,0,0,6,231,790.5287,13853669.9033,4.37094889589905,0,0,0.728706624605678,0.728706624605678
"2156","07032003-A007","07","Chiapas","032","Escuintla","003-A","007","135",353.0653,0,11,28,78,200.4008,14243001.49024,10.4611940740741,0,0.0814814814814815,0.577777777777778,0.659259259259259
"2157","07032003-A008","07","Chiapas","032","Escuintla","003-A","008","149",349.8032,0,59,24,84,171.8631,11806268.44377,7.04301744966443,0,0.395973154362416,0.563758389261745,0.959731543624161
"2158","07032003-A009","07","Chiapas","032","Escuintla","003-A","009","110",965.7629,0,16,18,65,553.8747,19151100.05002,17.5593254545455,0,0.145454545454545,0.590909090909091,0.736363636363636
"2159","07032003-A010","07","Chiapas","032","Escuintla","003-A","010","105",255.0854,0,10,30,91,217.1531,7578913.30389,7.28815428571428,0,0.0952380952380952,0.866666666666667,0.961904761904762
"2160","07032003-A012","07","Chiapas","032","Escuintla","003-A","012","9",338.4117,0,0,24,7,263.2091,6704215.9165,75.2026,0,0,0.777777777777778,0.777777777777778
"2161","07032003-A013","07","Chiapas","032","Escuintla","003-A","013","4",9.0622,0,0,0,0,0,0,0,0,0,0,0
"2162","07032003-A015","07","Chiapas","032","Escuintla","003-A","015","7",15.7836,0,0,15,3,6.7644,156311.999488,2.2548,0,0,0.428571428571429,0.428571428571429
"2163","07032003-A016","07","Chiapas","032","Escuintla","003-A","016","28",688.5172,0,0,16,25,614.7475,6819258.59895,24.5899,0,0,0.892857142857143,0.892857142857143
"2164","07032003-A018","07","Chiapas","032","Escuintla","003-A","018","65",118.2823,0,16,72,21,35.4401,5031287.80836,7.27891076923077,0,0.246153846153846,0.323076923076923,0.569230769230769
"2165","07032004-4001","07","Chiapas","032","Escuintla","004-4","001","123",1239.2127,0,0,4,74,745.5426,49090513.8576,40.2996,0,0,0.601626016260163,0.601626016260163
"2166","07032004-4003","07","Chiapas","032","Escuintla","004-4","003","76",521.5885,0,0,9,56,382.7925,15495927.3489,20.5890197368421,0,0,0.736842105263158,0.736842105263158
"2167","07032004-4004","07","Chiapas","032","Escuintla","004-4","004","5",52.1105,0,0,4,5,52.1105,516050.505841,10.4221,0,0,1,1
"2168","07032004-4005","07","Chiapas","032","Escuintla","004-4","005","90",178.371,0,0,5,79,156.5701,1766424.94042,1.9819,0,0,0.877777777777778,0.877777777777778
"2169","07032004-4006","07","Chiapas","032","Escuintla","004-4","006","201",1166.3404,2,63,30,95,450.5937,60275330.1375,29.0134427860697,0.00995024875621891,0.313432835820896,0.472636815920398,0.796019900497512
"2170","07032004-4007","07","Chiapas","032","Escuintla","004-4","007","299",884.0619,0,4,14,252,781.7435,18516439.81324,5.91345752508361,0,0.0133779264214047,0.842809364548495,0.8561872909699
"2171","07032004-4008","07","Chiapas","032","Escuintla","004-4","008","74",125.1099,0,0,16,57,113.9506,2705401.30958,3.38134864864865,0,0,0.77027027027027,0.77027027027027
"2172","07032004-4009","07","Chiapas","032","Escuintla","004-4","009","24",621.6888,0,1,9,15,388.5555,6156309.44169,25.9037,0,0.0416666666666667,0.625,0.666666666666667
"2173","07032004-4010","07","Chiapas","032","Escuintla","004-4","010","63",357.6006,0,0,40,50,283.81,14163543.09648,22.7048,0,0,0.793650793650794,0.793650793650794
"2174","07032004-4011","07","Chiapas","032","Escuintla","004-4","011","383",1501.9487,0,4,33,334,1339.4086,46530020.3316,11.764611227154,0,0.010443864229765,0.872062663185379,0.882506527415144
"2175","07032004-4013","07","Chiapas","032","Escuintla","004-4","013","94",176.6013,0,2,13,90,171.6185,1888210.90963,1.87873723404255,0,0.0212765957446809,0.957446808510638,0.978723404255319
"2176","07032004-4014","07","Chiapas","032","Escuintla","004-4","014","84",110.208,0,0,14,63,82.656,1091135.8498,1.312,0,0,0.75,0.75
"2177","07032004-4015","07","Chiapas","032","Escuintla","004-4","015","1",374.2288,0,0,0,0,0,0,0,0,0,0,0
"2178","07032004-4016","07","Chiapas","032","Escuintla","004-4","016","197",410.1843,0,0,16,193,401.3501,4456080.38027,2.0821538071066,0,0,0.979695431472081,0.979695431472081
"2179","07032004-4017","07","Chiapas","032","Escuintla","004-4","017","103",527.772,0,0,51,85,435.54,15674474.60136,15.372,0,0,0.825242718446602,0.825242718446602
"2180","07032004-4018","07","Chiapas","032","Escuintla","004-4","018","21",30.2211,0,0,36,19,27.3429,598393.644462,2.8782,0,0,0.904761904761905,0.904761904761905
"2181","07032004-4020","07","Chiapas","032","Escuintla","004-4","020","47",149.4544,0,0,20,47,149.4544,1484348.55815,3.17988085106383,0,0,1,1
"2182","07032004-4021","07","Chiapas","032","Escuintla","004-4","021","2",148.3646,0,0,21,1,74.1823,1468621.76195,74.1823,0,0,0.5,0.5
"2183","07032004-4023","07","Chiapas","032","Escuintla","004-4","023","78",98.5431,0,0,23,75,98.1435,984822.278789,1.26337307692308,0,0,0.961538461538462,0.961538461538462
"2184","07032004-4025","07","Chiapas","032","Escuintla","004-4","025","3",40.5508,0,0,25,2,33.1277,403808.791978,13.5169333333333,0,0,0.666666666666667,0.666666666666667
"2185","07032004-4026","07","Chiapas","032","Escuintla","004-4","026","47",148.157,0,0,26,44,143.6679,1490374.37776,3.15227659574468,0,0,0.936170212765957,0.936170212765957
"2186","07032004-4028","07","Chiapas","032","Escuintla","004-4","028","57",168.7277,0,0,28,54,166.2852,1732787.22899,2.9601350877193,0,0,0.947368421052632,0.947368421052632
"2187","07032004-4029","07","Chiapas","032","Escuintla","004-4","029","37",106.3289,0,1,29,28,84.4918,1053968.4092,2.87375405405405,0,0.027027027027027,0.756756756756757,0.783783783783784
"2188","07032004-4030","07","Chiapas","032","Escuintla","004-4","030","34",20.309,0,0,30,28,17.0808,289881.21833,0.597323529411765,0,0,0.823529411764706,0.823529411764706
"2189","07032005-9001","07","Chiapas","032","Escuintla","005-9","001","4",128.3325,0,2,0,0,0,0,0,0,0.5,0,0.5
"2190","07032005-9003","07","Chiapas","032","Escuintla","005-9","003","91",739.7365,0,78,6,4,16.4249,14706622.3607,16.2579450549451,0,0.857142857142857,0.043956043956044,0.901098901098901
"2191","07032005-9004","07","Chiapas","032","Escuintla","005-9","004","3",145.3374,0,2,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667
"2192","07032005-9005","07","Chiapas","032","Escuintla","005-9","005","104",728.7276,0,82,5,3,13.7072,7885306.97468,7.00699615384615,0,0.788461538461538,0.0288461538461538,0.817307692307692
"2193","07032005-9006","07","Chiapas","032","Escuintla","005-9","006","82",1218.6002,0,72,12,3,39.9164,25350010.1642,29.721956097561,0,0.878048780487805,0.0365853658536585,0.914634146341463
"2194","07032005-9007","07","Chiapas","032","Escuintla","005-9","007","24",509.8704,0,2,7,5,106.223,5048240.45454,21.2446,0,0.0833333333333333,0.208333333333333,0.291666666666667
"2195","07032005-9008","07","Chiapas","032","Escuintla","005-9","008","73",943.9246,0,44,32,13,135.6199,38495589.63816,51.721895890411,0,0.602739726027397,0.178082191780822,0.780821917808219
"2196","07032005-9009","07","Chiapas","032","Escuintla","005-9","009","5",934.2771,0,3,18,2,434.6871,18499048.88804,373.71084,0,0.6,0.4,1
"2197","07032005-9010","07","Chiapas","032","Escuintla","005-9","010","12",563.9514,0,8,20,2,41.7474,11130501.55194,93.9919,0,0.666666666666667,0.166666666666667,0.833333333333333
"2198","07032005-9011","07","Chiapas","032","Escuintla","005-9","011","24",542.4912,0,12,11,1,22.6038,5370508.30064,22.6038,0,0.5,0.0416666666666667,0.541666666666667
"2199","07032005-9012","07","Chiapas","032","Escuintla","005-9","012","76",205.2985,0,11,36,47,122.158,6213937.54224,8.10388815789474,0,0.144736842105263,0.618421052631579,0.763157894736842
"2200","07032005-9014","07","Chiapas","032","Escuintla","005-9","014","58",206.6393,0,4,42,51,185.4437,6273357.66804,10.6882396551724,0,0.0689655172413793,0.879310344827586,0.948275862068966
"2201","07032005-9016","07","Chiapas","032","Escuintla","005-9","016","11",428.2616,0,8,16,3,120.9936,4239498.48135,38.9328727272727,0,0.727272727272727,0.272727272727273,1
"2202","07032005-9017","07","Chiapas","032","Escuintla","005-9","017","296",1477.8104,0,83,85,143,560.1861,77440228.104,24.9630135135135,0,0.280405405405405,0.483108108108108,0.763513513513514
"2203","07032005-9018","07","Chiapas","032","Escuintla","005-9","018","20",612.871,1,11,36,3,141.3457,13268392.60452,61.2871,0.05,0.55,0.15,0.75
"2204","07032005-9019","07","Chiapas","032","Escuintla","005-9","019","1",164.9727,0,1,0,0,0,0,0,0,1,0,1
"2205","07032005-9022","07","Chiapas","032","Escuintla","005-9","022","5",246.7263,0,3,22,1,26.3368,2441893.17196,49.34526,0,0.6,0.2,0.8
"2206","07032005-9023","07","Chiapas","032","Escuintla","005-9","023","12",401.5644,0,4,69,5,387.4503,11924832.30798,100.3911,0,0.333333333333333,0.416666666666667,0.75
"2207","07032005-9025","07","Chiapas","032","Escuintla","005-9","025","67",458.8525,0,24,75,40,248.068,13622732.9322,20.5456343283582,0,0.358208955223881,0.597014925373134,0.955223880597015
"2208","07032005-9030","07","Chiapas","032","Escuintla","005-9","030","13",17.1202,0,1,150,10,11.6955,850162.40181,6.58469230769231,0,0.0769230769230769,0.769230769230769,0.846153846153846
"2209","07032005-9033","07","Chiapas","032","Escuintla","005-9","033","81",284.7903,0,41,99,31,49.2798,9255511.18296,10.5477888888889,0,0.506172839506173,0.382716049382716,0.888888888888889
"2210","07032005-9035","07","Chiapas","032","Escuintla","005-9","035","4",29.6993,0,4,0,0,0,0,0,0,1,0,1
"2211","07032005-9037","07","Chiapas","032","Escuintla","005-9","037","56",135.5984,0,15,222,32,83.1585,8598538.03554,14.5284,0,0.267857142857143,0.571428571428571,0.839285714285714
"2212","07032005-9039","07","Chiapas","032","Escuintla","005-9","039","25",54.5279,0,7,78,13,28.6727,1197813.091438,4.362232,0,0.28,0.52,0.8
"2213","07032005-9040","07","Chiapas","032","Escuintla","005-9","040","57",63.3855,0,2,200,39,42.7799,3513355.519545,5.56013157894737,0,0.0350877192982456,0.684210526315789,0.719298245614035
"2214","07032005-9041","07","Chiapas","032","Escuintla","005-9","041","45",73.5495,0,3,82,34,58.0351,1517037.270918,3.26886666666667,0,0.0666666666666667,0.755555555555556,0.822222222222222
"2215","07032005-9042","07","Chiapas","032","Escuintla","005-9","042","23",55.9463,0,0,126,21,51.2983,1780879.896948,7.29734347826087,0,0,0.91304347826087,0.91304347826087
"2216","07032005-9043","07","Chiapas","032","Escuintla","005-9","043","3",17.4459,0,2,43,1,5.162,325373.751477,5.8153,0,0.666666666666667,0.333333333333333,1
"2217","07032005-9045","07","Chiapas","032","Escuintla","005-9","045","31",119.4583,6,7,135,14,60.8964,3576907.84311,11.5604806451613,0.193548387096774,0.225806451612903,0.451612903225806,0.870967741935484
"2218","07032005-9046","07","Chiapas","032","Escuintla","005-9","046","29",42.5165,0,0,92,29,42.5165,1044747.960446,2.9321724137931,0,0,1,1
"2219","07032005-9047","07","Chiapas","032","Escuintla","005-9","047","52",237.9015,0,28,94,7,34.5296,4975796.53486,9.15005769230769,0,0.538461538461538,0.134615384615385,0.673076923076923
"2220","07032005-9048","07","Chiapas","032","Escuintla","005-9","048","63",64.8642,0,4,144,37,54.9085,1990848.282219,3.08877142857143,0,0.0634920634920635,0.587301587301587,0.650793650793651
"2221","07033001-8001","07","Chiapas","033","Francisco León","001-8","001","445",7467.8598,0,120,1,324,2734.074,75052881.6313,16.7817074157303,0,0.269662921348315,0.728089887640449,0.997752808988764
"2222","07033001-8003","07","Chiapas","033","Francisco León","001-8","003","336",2780.8781,0,226,9,34,228.4685,84499409.5794,24.82926875,0,0.672619047619048,0.101190476190476,0.773809523809524
"2223","07033001-8005","07","Chiapas","033","Francisco León","001-8","005","21",29.6213,0,10,5,2,2.9048,295736.297451,1.4105380952381,0,0.476190476190476,0.0952380952380952,0.571428571428571
"2224","07033002-2001","07","Chiapas","033","Francisco León","002-2","001","21",2949.1995,0,2,1,19,2350.6981,29464718.5757,140.438071428571,0,0.0952380952380952,0.904761904761905,1
"2225","07033002-2003","07","Chiapas","033","Francisco León","002-2","003","372",1679.269,0,287,3,2,0.192,17901451.653,4.51416397849462,0,0.771505376344086,0.00537634408602151,0.776881720430108
"2226","07033002-2005","07","Chiapas","033","Francisco León","002-2","005","409",1690.429,0,373,5,4,2.3106,17467291.8024,4.1330782396088,0,0.9119804400978,0.0097799511002445,0.921760391198044
"2227","07033003-7001","07","Chiapas","033","Francisco León","003-7","001","20",420.1803,0,16,0,0,0,0,0,0,0.8,0,0.8
"2228","07033003-7002","07","Chiapas","033","Francisco León","003-7","002","30",556.9743,0,21,0,0,0,0,0,0,0.7,0,0.7
"2229","07033003-7004","07","Chiapas","033","Francisco León","003-7","004","33",725.0811,0,31,0,0,0,0,0,0,0.939393939393939,0,0.939393939393939
"2230","07033003-7006","07","Chiapas","033","Francisco León","003-7","006","19",1471.2508,0,1,6,18,735.6258,14686816.9178,77.4342526315789,0,0.0526315789473684,0.947368421052632,1
"2231","07033003-7007","07","Chiapas","033","Francisco León","003-7","007","88",826.3023,0,72,14,9,4.3271,16756966.4845,18.7795977272727,0,0.818181818181818,0.102272727272727,0.920454545454546
"2232","07033003-7008","07","Chiapas","033","Francisco León","003-7","008","3",124.9871,0,1,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333
"2233","07034002-A002","07","Chiapas","034","Frontera Comalapa","002-A","002","71",491.4057,0,0,2,66,448.3017,4894049.90494,6.92120704225352,0,0,0.929577464788732,0.929577464788732
"2234","07034002-A003","07","Chiapas","034","Frontera Comalapa","002-A","003","11",144.8381,0,10,0,0,0,0,0,0,0.909090909090909,0,0.909090909090909
"2235","07034002-A005","07","Chiapas","034","Frontera Comalapa","002-A","005","49",150.3869,0,22,5,6,15.9594,1493322.62301,3.06912040816327,0,0.448979591836735,0.122448979591837,0.571428571428571
"2236","07034002-A006","07","Chiapas","034","Frontera Comalapa","002-A","006","412",2708.3407,0,26,6,351,2616.0902,27758862.0732,6.57364247572816,0,0.0631067961165049,0.851941747572815,0.91504854368932
"2237","07034002-A007","07","Chiapas","034","Frontera Comalapa","002-A","007","36",408.8269,0,0,7,32,338.4254,4059036.83281,11.3563027777778,0,0,0.888888888888889,0.888888888888889
"2238","07034002-A008","07","Chiapas","034","Frontera Comalapa","002-A","008","412",356.6944,0,60,40,184,168.5049,20159600.3017,4.32881553398058,0,0.145631067961165,0.446601941747573,0.592233009708738
"2239","07034002-A009","07","Chiapas","034","Frontera Comalapa","002-A","009","48",305.4541,0,0,9,42,281.6393,3032509.84155,6.36362708333333,0,0,0.875,0.875
"2240","07034002-A010","07","Chiapas","034","Frontera Comalapa","002-A","010","33",787.5715,0,2,10,14,111.2832,7819453.85699,23.865803030303,0,0.0606060606060606,0.424242424242424,0.484848484848485
"2241","07034002-A011","07","Chiapas","034","Frontera Comalapa","002-A","011","58",575.5862,0,0,11,58,575.5862,5714224.45637,9.9239,0,0,1,1
"2242","07034002-A013","07","Chiapas","034","Frontera Comalapa","002-A","013","8",498.1811,0,1,13,7,247.9505,4945808.96838,62.2726375,0,0.125,0.875,1
"2243","07034002-A014","07","Chiapas","034","Frontera Comalapa","002-A","014","2",145.8496,0,1,14,1,65.7612,1447914.5839,72.9248,0,0.5,0.5,1
"2244","07034002-A015","07","Chiapas","034","Frontera Comalapa","002-A","015","263",1713.0761,0,29,15,207,1095.1996,17004931.5222,6.51359733840304,0,0.110266159695817,0.787072243346008,0.897338403041825
"2245","07034002-A016","07","Chiapas","034","Frontera Comalapa","002-A","016","3",954.186,0,0,16,2,48.1825,9471517.51082,318.062,0,0,0.666666666666667,0.666666666666667
"2246","07034002-A017","07","Chiapas","034","Frontera Comalapa","002-A","017","64",724.2215,0,0,17,53,637.0423,7289966.89675,11.3159609375,0,0,0.828125,0.828125
"2247","07034002-A018","07","Chiapas","034","Frontera Comalapa","002-A","018","25",17.6293,0,15,0,0,0,0,0,0,0.6,0,0.6
"2248","07034003-4001","07","Chiapas","034","Frontera Comalapa","003-4","001","204",4849.2024,0,0,1,204,4849.2024,48137792.164,23.7706,0,0,1,1
"2249","07034003-4002","07","Chiapas","034","Frontera Comalapa","003-4","002","9",887.875,0,4,2,5,4.801,8813291.89916,98.6527777777778,0,0.444444444444444,0.555555555555556,1
"2250","07034003-4004","07","Chiapas","034","Frontera Comalapa","003-4","004","659",2457.066,0,51,4,463,1259.3119,24388624.579,3.72847647951442,0,0.0773899848254932,0.70257966616085,0.779969650986343
"2251","07034003-4005","07","Chiapas","034","Frontera Comalapa","003-4","005","63",233.5724,0,1,10,60,212.9529,4637369.14932,7.41499682539683,0,0.0158730158730159,0.952380952380952,0.968253968253968
"2252","07034003-4006","07","Chiapas","034","Frontera Comalapa","003-4","006","39",157.3516,0,4,6,26,104.4031,1561827.59668,4.03465641025641,0,0.102564102564103,0.666666666666667,0.769230769230769
"2253","07034003-4008","07","Chiapas","034","Frontera Comalapa","003-4","008","57",973.3767,0,13,8,41,706.5758,9816983.6522,17.0767842105263,0,0.228070175438596,0.719298245614035,0.947368421052632
