CONTROL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_AGEB,CVE_MZA,TERRENOS,SUP_TOTAL,sup_cal_ha,diferencia,SUMA_TOTAL,sup_tot_ch,super_calc_m,OBJECTID,sup_selva_S3,sup_cal__1,sup_calc_m,sup_cal_ma,sup_selvaS6,sup_cal__12,sup_calc,S6-S3,S6-S3 TOTAL
07116007-A004,07,Chiapas,116,Marqués de Comillas,007-A,004,1,84.1712,83.822,-0.349,89957.849,90819.402,838224.959,114535,83.822,67406.28,674062797.2,90961,75.631,37463.278,374632777.5,-8.191,-29943.002
07116012-0002,07,Chiapas,116,Marqués de Comillas,012-0,002,40,818.2993,814.68,-3.619,89957.849,90819.402,8146799.976,114535,814.68,67406.28,674062797.2,90961,711.696,37463.278,374632777.5,-102.984,-29943.002
07116007-A001,07,Chiapas,116,Marqués de Comillas,007-A,001,17,384.5981,383.074,-1.524,89957.849,90819.402,3830737.208,114535,343.466,67406.28,674062797.2,90961,214.578,37463.278,374632777.5,-128.888,-29943.002
07116005-0003,07,Chiapas,116,Marqués de Comillas,005-0,003,230,6643.5596,6686.051,42.491,89957.849,90819.402,66860507.656,114535,4094.046,67406.28,674062797.2,90961,2555.184,37463.278,374632777.5,-1538.862,-29943.002
07116007-A003,07,Chiapas,116,Marqués de Comillas,007-A,003,163,2981.8731,2969.588,-12.285,89957.849,90819.402,29695878.526,114535,2660.307,67406.28,674062797.2,90961,1352.336,37463.278,374632777.5,-1307.971,-29943.002
07116010-1014,07,Chiapas,116,Marqués de Comillas,010-1,014,31,631.7403,644.454,12.714,89957.849,90819.402,6444536.938,114535,644.454,67406.28,674062797.2,90961,216.01,37463.278,374632777.5,-428.444,-29943.002
07116010-1012,07,Chiapas,116,Marqués de Comillas,010-1,012,70,326.83,325.3,-1.53,89957.849,90819.402,3252996.773,114535,325.3,67406.28,674062797.2,90961,200.478,37463.278,374632777.5,-124.822,-29943.002
07116012-0005,07,Chiapas,116,Marqués de Comillas,012-0,005,33,1304.396,1298.248,-6.148,89957.849,90819.402,12982478.575,114535,1298.243,67406.28,674062797.2,90961,659.349,37463.278,374632777.5,-638.894,-29943.002
07116011-6007,07,Chiapas,116,Marqués de Comillas,011-6,007,185,1710.7889,1740.25,29.461,89957.849,90819.402,17402497.248,114535,639.636,67406.28,674062797.2,90961,491.737,37463.278,374632777.5,-147.899,-29943.002
07116011-6009,07,Chiapas,116,Marqués de Comillas,011-6,009,90,4719.2142,4970.563,251.349,89957.849,90819.402,49705632.008,114535,4164.587,67406.28,674062797.2,90961,3067.095,37463.278,374632777.5,-1097.492,-29943.002
07116012-0004,07,Chiapas,116,Marqués de Comillas,012-0,004,256,5285.6287,5264.381,-21.248,89957.849,90819.402,52643812.046,114535,5105.381,67406.28,674062797.2,90961,2070.834,37463.278,374632777.5,-3034.547,-29943.002
07116011-6010,07,Chiapas,116,Marqués de Comillas,011-6,010,72,185.1192,184.234,-0.885,89957.849,90819.402,1842339.067,114535,184.234,67406.28,674062797.2,90961,184.234,37463.278,374632777.5,0,-29943.002
07116008-4001,07,Chiapas,116,Marqués de Comillas,008-4,001,4,591.022,588.527,-2.495,89957.849,90819.402,5885266.209,114535,588.527,67406.28,674062797.2,90961,546.023,37463.278,374632777.5,-42.504,-29943.002
07116007-A007,07,Chiapas,116,Marqués de Comillas,007-A,007,1,427.1475,425.291,-1.856,89957.849,90819.402,4252909.956,114535,425.291,67406.28,674062797.2,90961,425.291,37463.278,374632777.5,0,-29943.002
07116011-6005,07,Chiapas,116,Marqués de Comillas,011-6,005,67,275.9998,274.698,-1.302,89957.849,90819.402,2746976.757,114535,274.698,67406.28,674062797.2,90961,224.381,37463.278,374632777.5,-50.317,-29943.002
07116011-6008,07,Chiapas,116,Marqués de Comillas,011-6,008,35,1769.5916,1780.453,10.861,89957.849,90819.402,17804530.289,114535,1210.702,67406.28,674062797.2,90961,958.132,37463.278,374632777.5,-252.57,-29943.002
07116008-4009,07,Chiapas,116,Marqués de Comillas,008-4,009,482,3181.2264,3222.002,40.776,89957.849,90819.402,32220018.635,114535,1881.342,67406.28,674062797.2,90961,556.022,37463.278,374632777.5,-1325.32,-29943.002
07116008-4010,07,Chiapas,116,Marqués de Comillas,008-4,010,26,160.8464,160.101,-0.745,89957.849,90819.402,1601013.671,114535,160.1,67406.28,674062797.2,90961,160.1,37463.278,374632777.5,0,-29943.002
